區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
太保市,22,40,-10,2,-2,-34,19,47,31,23,40,-4
朴子市,1,-5,27,19,-23,-3,-72,-50,13,-28,-5,-6
布袋鎮,-45,-38,-49,-43,-49,-16,-4,-8,0,-6,3,-4
大林鎮,-29,-25,-30,32,-36,-20,-32,-28,-46,-23,-24,2
民雄鄉,48,30,46,-12,-27,16,3,71,27,9,-25,-44
溪口鄉,-56,-19,-21,-6,-19,4,-26,3,-3,-2,-29,14
新港鄉,-7,-21,-25,-34,-5,-2,-15,-27,-14,-8,-33,-21
六腳鄉,-35,-48,-27,-23,-13,-14,-4,-13,16,-13,-22,10
東石鄉,-40,-29,-81,-70,-30,-31,5,-1,-2,4,-9,-17
義竹鄉,-8,-21,-24,-17,-34,-9,-11,-6,-14,6,3,-2
鹿草鄉,-19,-2,-11,-23,-16,-38,-1,-8,-10,-9,7,0
水上鄉,9,-17,-22,-37,16,-3,19,-29,19,15,-39,-30
中埔鄉,-24,-47,-60,-40,-43,-37,18,4,-16,-38,-26,-14
竹崎鄉,-36,-6,-59,-35,3,23,-31,-19,-23,-22,-34,-19
梅山鄉,-20,-15,-14,-27,-15,-21,-14,-32,-19,-5,0,-18
番路鄉,-28,-5,-36,-22,-6,-10,-6,-4,-7,-13,-16,-10
大埔鄉,1,-11,-19,-14,-4,-4,-4,1,-7,7,11,2
阿里山鄉,-7,-1,-1,-4,-10,-7,-10,5,-2,-5,7,4
總計,-273,-240,-416,-354,-313,-206,-166,-94,-57,-108,-191,-157
