區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
桃園區,"1,426",748,"1,092",755,480,718,793,493,275,448,430,388
中壢區,"1,174",647,679,539,704,545,709,657,375,372,245,272
平鎮區,351,150,200,24,143,207,240,113,6,46,87,42
八德區,444,237,207,234,236,195,459,406,319,162,191,113
楊梅區,352,252,202,241,32,223,235,170,167,171,106,83
大溪區,148,57,97,18,140,89,70,42,-72,-87,-44,-34
蘆竹區,327,121,42,299,162,208,331,39,-19,138,102,56
大園區,44,-44,38,-8,46,106,25,83,149,21,31,113
龜山區,628,759,603,419,614,537,712,468,392,164,181,248
龍潭區,291,75,150,112,59,129,215,372,116,100,47,19
新屋區,63,-9,81,50,22,-12,37,21,-10,37,-10,21
觀音區,149,141,158,118,154,85,155,123,101,114,111,95
復興區,33,6,2,16,1,-27,10,-6,0,31,14,45
總計,"5,430","3,140","3,551","2,817","2,793","3,003","3,991","2,981","1,799","1,717","1,491","1,461"
