區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
桃園區,379,339,297,400,-104,-52,324,498,286,183,50,234
中壢區,200,315,191,249,205,283,309,436,745,256,149,196
平鎮區,24,14,-46,-22,-202,12,78,-148,-209,-22,-153,-86
八德區,361,252,266,130,89,107,221,314,96,219,167,163
楊梅區,169,115,150,111,119,165,84,114,123,88,-5,77
大溪區,38,96,-15,9,-38,11,53,-12,-11,4,-98,-82
蘆竹區,26,69,2,-52,68,25,-61,-4,-105,-16,-59,-42
大園區,-19,4,-29,25,30,92,-5,51,6,48,105,129
龜山區,140,15,58,48,39,-30,115,230,89,42,76,-53
龍潭區,5,40,-14,-13,-26,28,16,16,-57,37,30,-12
新屋區,23,18,-31,-3,8,3,54,42,-31,-21,12,6
觀音區,85,47,25,40,71,50,192,141,75,52,73,71
復興區,35,39,20,-9,13,26,-1,-18,2,-5,15,22
總計,"1,466","1,363",874,913,272,720,"1,379","1,660","1,009",865,362,623
