區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
桃園區,282,336,613,625,324,201,364,519,354,220,239,465
中壢區,443,389,459,414,616,423,557,501,274,256,206,331
平鎮區,162,15,100,151,-16,92,104,120,29,61,148,182
八德區,325,258,286,191,290,271,285,296,247,194,181,372
楊梅區,162,125,277,74,137,284,257,192,99,120,68,130
大溪區,21,65,22,17,19,32,55,29,-10,-35,-26,-2
蘆竹區,214,95,178,-27,280,154,216,67,174,87,40,85
大園區,59,2,67,-1,136,109,126,118,78,123,108,277
龜山區,251,99,193,152,208,187,303,329,100,49,49,195
龍潭區,122,86,62,67,106,183,56,63,32,34,60,55
新屋區,76,13,37,40,65,26,-8,-5,-17,25,16,22
觀音區,10,-22,79,61,86,18,80,93,74,62,56,62
復興區,62,53,81,36,112,62,52,-34,17,18,13,16
總計,"2,189","1,514","2,454","1,800","2,363","2,042","2,447","2,288","1,451","1,214","1,158","2,190"
