"區域別","總計"
"桃園區","418,040"
"中壢區","382,074"
"平鎮區","212,817"
"八德區","181,717"
"楊梅區","157,407"
"大溪區","91,994"
"蘆竹區","151,546"
"大園區","84,618"
"龜山區","142,213"
"龍潭區","116,420"
"新屋區","48,054"
"觀音區","63,680"
"復興區","10,921"
"總計","2,061,501"
