區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
桃園區,490,353,482,271,580,509,436,370,408,390,390,239
中壢區,360,316,295,152,334,188,334,145,504,346,361,227
平鎮區,46,-28,-37,-41,-134,5,-126,79,-176,-67,-138,129
八德區,231,151,88,55,116,38,122,109,92,89,27,79
楊梅區,77,25,87,117,78,158,118,121,257,233,87,13
大溪區,28,-9,4,80,5,3,-33,-13,15,-52,3,-40
蘆竹區,8,-60,61,107,41,44,2,50,93,63,32,90
大園區,73,-1,88,71,160,139,161,118,153,36,136,282
龜山區,289,325,302,310,406,401,694,638,720,388,472,392
龍潭區,65,35,116,59,17,77,75,50,60,31,65,121
新屋區,-43,4,0,54,43,65,71,21,-1,48,-18,2
觀音區,106,96,75,61,102,90,227,127,186,105,85,82
復興區,13,-7,-27,2,-1,-11,-4,17,-14,20,15,29
總計,"1,743","1,200","1,534","1,298","1,747","1,706","2,077","1,832","2,297","1,630","1,517","1,645"
