區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
竹北市,285,338,445,579,371,221,215,340,680,212,183,306
關西鎮,-17,-20,-33,-1,-16,-7,-30,-7,-45,-40,-9,-21
新埔鎮,4,48,-18,22,11,16,-4,-20,-29,13,28,40
竹東鎮,-69,-6,-66,22,4,11,-17,41,-110,-56,-64,-40
湖口鄉,76,48,72,40,93,113,66,41,-1,30,87,46
橫山鄉,-5,-11,-1,-10,-11,-2,-22,-21,-27,25,1,-7
新豐鄉,10,1,60,49,44,24,-4,37,114,49,3,71
芎林鄉,-7,6,17,3,4,6,24,28,35,-3,-11,13
寶山鄉,-7,-16,2,-11,-4,-11,5,1,-34,-3,-1,-19
北埔鄉,-8,3,-11,-19,-24,-11,-33,2,-10,-25,2,-7
峨眉鄉,-8,-4,12,-15,-10,-1,-13,-2,-17,9,12,4
尖石鄉,-16,-23,-15,-22,-10,0,-7,-4,-1,4,27,-5
五峰鄉,-3,-11,-11,-5,5,-7,-14,10,7,10,11,14
總計,235,353,453,632,457,352,166,446,562,225,269,395
