區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
竹北市,238,290,259,247,491,342,348,318,481,253,263,384
關西鎮,-13,-12,-56,-26,-38,-6,-18,-22,-55,-27,-39,-22
新埔鎮,-22,-29,-24,-16,-22,-14,24,7,-57,-39,-6,-40
竹東鎮,0,52,-28,51,-64,4,31,55,20,-66,-77,-31
湖口鄉,-13,-3,-2,-92,-13,32,44,13,-25,-36,19,-60
橫山鄉,-7,7,11,-20,-18,-16,-17,-27,-20,-2,9,-25
新豐鄉,-3,-7,52,57,-8,32,2,55,8,1,46,18
芎林鄉,-13,-46,-44,-16,17,-2,-21,29,-3,6,3,-2
寶山鄉,-5,7,29,28,31,11,18,33,30,42,-10,6
北埔鄉,-9,6,2,-14,2,-8,-14,-7,-12,-7,-13,-12
峨眉鄉,-5,-6,-1,2,5,11,-5,-4,-1,-3,-5,3
尖石鄉,8,-17,13,7,-28,-10,-19,14,38,25,29,13
五峰鄉,2,-1,2,-14,-17,-6,7,-3,12,7,2,-2
總計,158,241,213,194,338,370,380,461,416,154,221,230
