區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
竹北市,187,219,339,271,560,462,328,476,385,207,239,487
關西鎮,-12,2,17,17,-8,-17,16,-30,-41,-20,-3,-67
新埔鎮,-45,-10,-54,-16,-38,-26,-34,-26,-9,-12,24,-34
竹東鎮,17,-84,-76,-104,-166,-25,-30,14,-60,-18,41,-14
湖口鄉,30,12,28,-21,122,-10,-15,-30,66,-7,1,56
橫山鄉,-22,-18,14,1,10,15,33,3,-2,-6,-31,-24
新豐鄉,-32,-7,17,23,-47,-22,61,74,-4,50,7,2
芎林鄉,2,21,11,-12,21,-9,-7,-25,24,-3,-3,8
寶山鄉,1,18,34,29,33,35,30,7,-13,-28,-19,-19
北埔鄉,-20,7,9,12,3,8,-5,7,-10,-2,-10,-5
峨眉鄉,-3,7,9,22,31,31,40,-3,4,-4,-29,-20
尖石鄉,2,0,12,50,0,19,6,4,22,12,-1,3
五峰鄉,24,9,26,68,97,9,14,3,15,-17,-11,-18
總計,129,176,386,340,618,470,437,474,377,152,205,355
