區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
竹北市,97,75,-84,-206,155,159,187,188,289,287,380,508
關西鎮,13,-15,-26,21,22,-22,3,-7,-11,-18,1,-11
新埔鎮,-10,-26,-61,-19,54,40,63,57,44,15,14,88
竹東鎮,-9,11,-101,-21,-109,22,52,101,46,7,72,64
湖口鄉,-27,96,189,198,107,106,172,195,237,82,190,147
橫山鄉,-10,-30,-28,-5,4,19,40,31,7,-2,8,-15
新豐鄉,136,104,23,31,81,117,89,96,81,62,-10,104
芎林鄉,-11,10,-14,-22,-5,35,62,76,46,7,60,47
寶山鄉,-55,-16,-63,-40,31,-1,42,19,17,-6,7,27
北埔鄉,-20,-20,-1,-7,7,13,-2,-10,4,9,-13,2
峨眉鄉,13,0,3,13,11,4,11,3,12,1,3,-7
尖石鄉,-6,-14,-5,-15,3,-3,8,2,21,23,3,-7
五峰鄉,1,6,31,38,26,9,19,-8,5,8,-5,-22
總計,112,181,-137,-34,387,498,746,743,798,475,710,925
