區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
竹北市,348,497,378,410,514,432,521,380,544,336,350,483
關西鎮,-11,-6,-20,26,-49,-11,-10,-32,-18,-18,-1,-21
新埔鎮,52,-12,14,33,44,19,67,41,89,0,4,-5
竹東鎮,24,90,27,14,-10,5,42,65,-85,-32,-15,-71
湖口鄉,9,41,57,93,127,64,122,195,115,48,64,106
橫山鄉,-4,-21,-27,7,-25,-14,-1,-28,-35,12,-11,-7
新豐鄉,-6,33,87,11,17,39,34,25,34,-55,-6,34
芎林鄉,9,-8,15,10,-10,13,1,4,-19,-5,-12,-8
寶山鄉,-8,21,-18,9,0,-18,9,18,14,1,5,-23
北埔鄉,-4,-15,-22,-9,-9,-7,-6,-2,-15,5,1,-2
峨眉鄉,-8,0,11,-2,-7,5,-13,2,-9,-2,-7,0
尖石鄉,-6,-19,-38,-12,16,-4,11,-32,2,21,29,9
五峰鄉,-16,-15,-3,-15,-30,-11,-10,-6,13,4,3,-1
總計,379,586,461,575,578,512,767,630,630,315,404,494
