"區域別","總計"
"竹北市","165,540"
"關西鎮","30,657"
"新埔鎮","34,407"
"竹東鎮","96,046"
"湖口鄉","77,215"
"橫山鄉","13,741"
"新豐鄉","55,924"
"芎林鄉","20,314"
"寶山鄉","14,337"
"北埔鄉","9,782"
"峨眉鄉","5,734"
"尖石鄉","9,498"
"五峰鄉","4,712"
"總計","537,907"
