區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
板橋區,-471,-742,"-1,247","-1,808",-33,-78,207,-8,72,414,697,"1,026"
三重區,-369,-436,-502,"-1,244",36,-5,286,282,159,105,509,559
中和區,-769,-558,"-1,593","-1,835",-46,140,342,357,344,380,699,782
永和區,-716,-383,-885,"-1,273",-234,-90,-61,69,15,336,504,784
新莊區,-450,-343,"-1,062","-1,145",-47,98,142,92,249,175,363,604
新店區,-501,-393,"-1,030","-2,590",190,323,585,398,471,675,868,"1,115"
樹林區,-280,-186,-452,-482,-360,-124,-37,50,-41,76,55,214
鶯歌區,68,-63,-20,-145,61,60,108,138,52,47,74,113
三峽區,-106,-31,-197,-354,-44,17,-50,-35,36,51,72,138
淡水區,10,-73,-212,-156,-408,359,473,492,521,489,664,850
汐止區,-25,-44,-178,-647,-216,-158,333,314,236,205,346,644
瑞芳區,-69,-23,-45,-73,-82,-27,-37,-65,-23,-20,11,21
土城區,-86,-82,-421,-527,-88,69,187,115,145,259,225,445
蘆洲區,-170,-64,-419,-361,-536,-202,12,-139,-42,25,87,203
五股區,51,-62,-28,-125,196,88,142,193,129,70,97,203
泰山區,-57,-100,-131,-176,-216,-5,-16,31,21,-2,92,117
林口區,124,42,-71,-366,139,290,445,422,381,391,527,634
深坑區,-61,-31,-58,-57,9,25,-24,4,51,28,40,28
石碇區,-2,-21,-28,-25,-16,-15,0,0,-3,-9,-15,3
坪林區,7,-14,9,-5,3,4,4,-15,1,7,7,2
三芝區,-32,-48,-15,-66,30,11,10,47,-20,51,43,9
石門區,-23,-16,-35,-35,-22,9,-12,-14,-13,-4,-2,-1
八里區,-1,-25,-27,-48,157,69,155,123,106,75,87,123
平溪區,3,-2,7,4,-5,8,22,12,6,-10,-2,-17
雙溪區,-4,-2,32,7,-22,-11,25,-7,7,9,-16,-21
貢寮區,-24,-4,-12,-25,-33,-12,-7,0,2,-7,2,-14
金山區,-19,-25,-41,-23,-4,-2,0,-10,-29,0,-2,-7
萬里區,-46,-47,-67,-69,11,3,5,19,11,9,-10,7
烏來區,-11,-36,-29,-9,-8,-4,4,1,14,13,8,19
總計,"-4,029","-3,812","-8,757","-13,658","-1,588",840,"3,243","2,866","2,858","3,838","6,030","8,583"
