區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
板橋區,149,243,140,155,28,158,86,196,218,-11,8,-217
三重區,15,122,3,186,60,137,352,332,336,170,34,148
中和區,82,-19,-145,198,-145,-26,24,6,229,218,-8,7
永和區,82,55,237,9,28,-7,-77,11,-234,-92,26,60
新莊區,125,115,206,102,13,87,-37,13,119,86,-92,-123
新店區,420,342,227,118,269,320,354,247,404,270,138,123
樹林區,-74,-42,-166,-72,-154,-66,-88,-110,-230,-61,-59,-167
鶯歌區,35,37,51,-38,59,-8,49,79,101,46,65,25
三峽區,6,32,-34,-50,1,38,8,-46,42,55,2,41
淡水區,648,553,458,502,667,409,559,580,735,614,655,557
汐止區,175,127,158,126,99,82,213,187,367,311,163,147
瑞芳區,-30,-68,-52,-19,-44,-12,-2,-82,-92,-14,-50,-40
土城區,138,207,139,2,22,-71,48,65,175,11,7,124
蘆洲區,-27,-1,-129,-182,-236,-111,-47,-50,-156,-114,-45,-141
五股區,134,65,131,203,292,26,120,126,116,78,14,3
泰山區,77,36,57,-13,57,21,32,-21,27,-44,33,77
林口區,363,341,280,284,307,216,264,184,181,211,80,268
深坑區,28,-2,-9,5,10,-15,-11,-4,9,43,9,24
石碇區,-16,-4,-9,4,-12,17,16,18,-9,0,-17,-1
坪林區,4,5,-4,-2,-14,6,-13,3,-11,-10,-10,11
三芝區,-7,0,-14,45,-11,11,-3,18,14,35,34,14
石門區,-15,-15,-11,-12,-37,-13,-20,-15,-39,-38,-24,-19
八里區,60,3,-2,52,57,37,132,49,181,127,65,50
平溪區,5,-8,-1,-2,9,-4,-2,-3,-1,-5,10,-3
雙溪區,-11,-8,-11,-18,-15,-6,-6,-12,-10,-3,4,-7
貢寮區,-13,-4,-25,-10,-9,-17,-20,-2,0,-11,-2,-17
金山區,-16,4,-20,5,-8,-13,-10,3,-46,-8,-18,-25
萬里區,-6,-10,-34,12,31,24,15,7,-9,-33,-39,-25
烏來區,-11,-3,-40,-16,-11,-9,-2,-4,-3,17,1,33
總計,"2,320","2,103","1,381","1,574","1,313","1,211","1,934","1,775","2,414","1,848",984,927
