區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
板橋區,-370,-79,-378,-340,-243,-209,-475,-564,-571,-184,-278,-89
三重區,-98,-17,-356,8,-180,-121,15,43,-86,-34,47,43
中和區,-26,-128,-393,-106,-112,-186,146,109,10,-130,8,-196
永和區,-48,20,16,-111,-20,-185,-206,-346,-295,-120,-77,-171
新莊區,31,59,-159,-62,54,-171,-339,-88,-129,-86,-103,-25
新店區,0,-56,-69,-154,9,25,232,201,99,185,130,38
樹林區,-2,-8,-133,-80,-121,13,-59,-46,-185,11,-9,-49
鶯歌區,-62,-110,-73,-82,-61,-59,-89,-93,-128,-109,-63,-65
三峽區,44,121,76,117,100,104,146,44,218,44,99,-10
淡水區,172,106,268,262,270,230,387,277,357,265,286,260
汐止區,78,-34,-69,63,206,-51,262,105,209,130,267,108
瑞芳區,-41,26,-35,-27,-13,-19,25,-34,-30,-20,-10,-34
土城區,-153,-48,-82,-91,-126,-241,-144,-83,-95,-29,5,-70
蘆洲區,-85,-4,-72,-52,-40,-86,75,-26,-55,-67,77,9
五股區,39,74,-5,63,110,74,115,106,142,124,56,60
泰山區,56,-46,2,38,12,-25,-24,-86,-119,-73,17,-13
林口區,144,186,185,218,181,144,191,194,269,134,158,205
深坑區,14,13,9,-27,6,21,5,8,-11,29,16,-16
石碇區,4,-1,-2,-16,-37,8,3,0,-2,8,-19,-9
坪林區,12,14,1,3,10,6,7,-7,1,14,16,-3
三芝區,-24,4,-17,-21,-26,7,22,-39,15,-10,25,6
石門區,6,-10,-21,-1,-13,-15,-17,-25,-19,12,-18,8
八里區,30,-3,-62,43,69,63,44,27,50,41,57,28
平溪區,0,0,-11,-21,-10,-4,0,-8,0,0,7,-8
雙溪區,-5,-10,-20,0,-4,-15,-17,0,-13,-6,-9,-7
貢寮區,0,-8,-37,-3,-2,11,-6,-10,-4,-2,-18,-19
金山區,7,-10,-8,-17,9,-11,4,-19,-3,-22,11,-4
萬里區,-2,-23,-28,-37,34,11,21,-3,-34,-16,-15,-7
烏來區,-7,12,-23,-8,-14,-6,1,-2,-1,9,-1,31
總計,-286,40,"-1,496",-441,48,-687,325,-365,-410,98,662,1
