區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
板橋區,207,37,123,-31,119,-228,-216,-73,-82,38,-70,-159
三重區,-63,-119,-103,-39,-59,-157,167,-140,-73,-124,11,-207
中和區,39,47,-302,-14,-66,-209,-118,-136,-200,-58,-197,-436
永和區,74,147,43,-38,-81,-206,-224,-263,-302,-60,42,-30
新莊區,170,193,159,55,206,-16,-116,171,118,51,162,66
新店區,216,169,46,-61,-22,-102,158,198,184,-128,-139,-78
樹林區,-51,27,-84,-44,-50,1,-121,-116,-160,-36,-76,-47
鶯歌區,86,127,160,95,107,12,35,60,0,-12,100,11
三峽區,92,58,13,-14,167,83,51,37,-84,-7,52,-55
淡水區,436,470,400,363,491,245,398,499,544,225,316,259
汐止區,195,250,316,227,260,123,274,319,82,34,149,152
瑞芳區,-12,-14,-40,-40,-46,-17,-19,-13,-31,11,6,-35
土城區,41,13,-11,25,116,33,27,-62,10,58,-86,66
蘆洲區,127,73,72,-57,-42,25,120,-20,-75,47,-65,-80
五股區,153,140,83,217,177,73,34,97,202,26,2,144
泰山區,-26,-41,-32,-81,16,-35,-37,-33,-14,-57,-10,-111
林口區,380,412,528,479,415,344,409,388,646,383,320,413
深坑區,-4,49,31,5,-3,-2,8,6,-9,-30,-9,-19
石碇區,3,-14,9,-13,-8,-6,21,-13,5,14,-8,-5
坪林區,9,27,11,2,8,0,2,-25,5,11,8,8
三芝區,-40,23,-18,6,-13,11,-30,-22,-33,-15,-19,8
石門區,-16,-51,-62,-23,-15,-29,-19,-18,-15,-20,-20,-20
八里區,13,14,-52,25,0,-3,12,36,59,47,35,-23
平溪區,-7,-10,-4,-2,-6,6,-7,-9,-5,3,-5,-6
雙溪區,-26,12,-23,-4,-11,-11,-6,-14,-4,2,-8,-3
貢寮區,-16,-12,-26,-16,-6,2,-19,-13,-6,-13,-5,-8
金山區,-19,-12,-53,-52,-5,-2,-5,-12,-16,-14,-10,-18
萬里區,-27,-29,-53,-25,32,26,1,-18,20,7,8,-18
烏來區,-3,-28,-39,-12,-21,4,15,-4,12,7,7,8
總計,"1,931","1,958","1,092",933,"1,660",-35,795,807,778,390,491,-223
