"區域別","淨遷徙人數總計"
"板橋區","-218"
"三重區","-189"
"中和區","-102"
"永和區","-90"
"新莊區","81"
"新店區","-113"
"樹林區","-93"
"鶯歌區","8"
"三峽區","20"
"淡水區","164"
"汐止區","4"
"瑞芳區","-11"
"土城區","-50"
"蘆洲區","-79"
"五股區","-31"
"泰山區","85"
"林口區","156"
"深坑區","-13"
"石碇區","0"
"坪林區","19"
"三芝區","4"
"石門區","-8"
"八里區","17"
"平溪區","-5"
"雙溪區","-33"
"貢寮區","-3"
"金山區","-4"
"萬里區","16"
"烏來區","-5"
"總計","-473"
