區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
新營區,67,29,70,-24,5,64,-14,4,-57,-24,54,75
鹽水區,16,-24,1,-5,-11,-14,-10,-9,-4,5,10,-6
白河區,-7,19,-38,-29,-30,9,-13,-23,-18,28,-22,-5
柳營區,-22,7,-19,0,-3,-37,-8,-1,25,15,-30,-12
後壁區,-13,10,-13,1,12,-23,11,17,-10,-3,-4,-37
東山區,-21,-19,-10,19,1,6,-13,3,1,-13,-3,-10
麻豆區,15,10,28,36,56,15,34,8,4,23,46,14
下營區,-5,-3,-2,3,-14,-14,2,-8,-40,-22,-16,-8
六甲區,6,13,16,-27,52,-3,53,16,-8,-10,8,-15
官田區,11,-9,-15,-3,-3,2,-17,9,0,-3,-2,12
大內區,-4,-11,-6,7,-10,-1,3,-7,0,6,-5,-10
佳里區,32,57,112,31,12,49,8,78,24,32,22,72
學甲區,-10,3,23,-3,-9,3,-1,-12,-4,9,22,-7
西港區,16,0,3,11,-7,14,40,38,-22,30,2,-16
七股區,49,-12,-35,-21,-5,8,-5,-23,-51,-55,-22,-8
將軍區,-17,-8,1,-13,-9,-7,-15,-17,26,51,31,-16
北門區,-9,-8,-31,-5,-20,-9,-8,-21,-22,-19,-26,-4
新化區,15,-20,-8,-27,-58,-44,-25,-25,-32,-2,-31,4
善化區,37,124,49,34,131,59,32,86,87,109,115,93
新市區,61,51,37,20,49,37,33,-3,35,11,26,-6
安定區,1,-22,-1,14,-1,-9,26,35,49,8,-11,-17
山上區,-9,6,-3,1,-7,4,-1,3,-1,-10,-7,-13
玉井區,-12,-6,15,-1,-11,-3,-16,-3,-27,1,-3,7
楠西區,-11,6,-9,-11,-2,-24,3,-7,5,1,-7,-16
南化區,-6,-4,-28,2,-12,-4,5,-23,-9,-8,-11,-11
左鎮區,-7,3,-2,0,-8,-1,4,3,-6,-2,-3,-4
仁德區,109,21,61,50,125,34,13,38,72,-18,-19,-10
歸仁區,20,60,113,87,135,96,87,118,202,103,160,99
關廟區,-24,47,-15,-14,2,23,7,-1,-28,-18,-19,43
龍崎區,-12,2,-5,-10,-4,-8,0,-1,-11,-14,1,-1
永康區,211,134,168,-63,49,87,64,93,56,98,-3,59
東區,-21,89,122,72,-20,78,14,-38,-102,67,150,154
南區,-46,19,-10,-16,-41,2,-15,29,-54,-20,-48,-33
北區,25,5,18,-16,-6,-55,-42,-59,-35,-62,24,-28
安南區,224,291,220,225,165,134,253,248,227,76,79,87
安平區,174,100,111,66,126,91,128,159,179,77,69,106
中西區,1,-44,-69,-55,-34,16,-91,-47,-57,-82,8,-71
總計,834,916,849,336,595,575,526,657,394,365,535,461
