區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
新營區,20,18,-27,-35,-52,-11,-62,-62,-59,-59,-55,8
鹽水區,-7,-9,-26,-5,-30,2,15,32,1,4,-11,-17
白河區,-5,-9,-2,2,-29,-20,0,-31,-19,-11,-11,-43
柳營區,-29,-6,-7,-9,0,4,16,-4,-14,-8,6,-23
後壁區,-5,-22,-20,6,-21,-11,4,1,25,-1,12,-13
東山區,-28,-2,-16,0,0,-3,-5,-4,-8,-13,3,-11
麻豆區,-11,4,4,-8,-33,21,7,-42,13,17,4,0
下營區,-25,-16,5,-1,12,-5,-15,3,5,-13,6,-10
六甲區,-22,-11,-3,0,-10,-8,-17,-14,-1,3,-21,15
官田區,6,11,21,29,-1,-16,4,1,-10,-25,-6,-26
大內區,-13,-4,-8,-8,-3,-4,-3,-15,-15,2,-2,-13
佳里區,11,33,-22,-20,-5,-19,-2,-57,-54,-4,-17,4
學甲區,-20,-27,13,29,25,4,-22,6,-28,-13,-14,-18
西港區,2,-26,-17,9,-24,-7,-13,46,20,21,-15,14
七股區,16,60,-52,-18,14,12,-10,-10,-11,-20,12,5
將軍區,-19,-7,-11,-7,14,-10,3,10,-8,-7,-3,-35
北門區,-19,-14,-11,-8,6,-12,-9,-17,-26,-13,0,-23
新化區,-12,11,52,0,42,-2,35,66,32,-38,-1,-19
善化區,25,76,29,65,87,79,93,88,103,38,15,112
新市區,7,14,-8,79,46,39,14,61,38,38,12,-2
安定區,-16,28,-23,24,15,8,21,-4,1,1,12,-7
山上區,-16,-4,5,0,4,3,13,-6,4,-1,-17,-7
玉井區,-6,1,-1,-9,0,-6,-10,-9,-5,13,-10,-7
楠西區,-2,-7,12,0,8,-4,-10,-16,3,2,1,-17
南化區,-1,-9,-28,-8,-5,-14,-6,-14,-19,-3,-3,-12
左鎮區,4,-5,-1,-12,0,1,-1,-16,-6,1,-10,10
仁德區,-14,-2,72,72,64,8,57,55,23,0,21,-10
歸仁區,20,57,108,4,-66,20,-42,-36,12,8,2,-16
關廟區,19,-21,-2,-18,-25,-10,6,-46,-19,-14,-1,33
龍崎區,-16,-7,-10,-11,-6,-3,-11,-8,-4,-7,0,-4
永康區,78,-13,-3,55,-153,-58,-73,-46,-54,-88,-82,-22
東區,-89,-33,-29,-8,-158,-63,-117,-85,-124,53,-5,-119
南區,17,-23,-81,66,-16,-95,-70,-24,-64,-56,-38,-134
北區,-84,-84,-159,-149,-60,-64,-37,-60,-180,-49,-131,-118
安南區,-21,75,133,106,109,165,118,97,121,34,98,155
安平區,-8,-24,16,36,25,31,-39,33,62,17,-16,-23
中西區,25,-1,-34,-105,-36,54,77,53,85,70,61,98
總計,-238,2,-131,143,-262,6,-91,-74,-180,-121,-204,-295
