區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
新營區,28,57,20,32,5,-19,26,-58,-33,2,-20,17
鹽水區,7,-1,-20,-8,7,-18,34,-3,-19,-23,6,-21
白河區,-10,-10,-8,-26,-25,-17,-24,-17,5,-5,-10,-9
柳營區,-19,-19,11,-4,-16,3,41,19,17,-3,0,-9
後壁區,-29,-5,6,27,0,-4,-4,-8,-14,-2,-8,-14
東山區,-24,-9,-6,2,-17,-10,-5,17,-28,1,-17,-17
麻豆區,-10,24,1,-10,-15,-2,-26,-4,-32,-6,7,0
下營區,-33,-9,-30,-6,-18,-12,-5,2,7,13,-28,-26
六甲區,1,-6,-6,0,-10,6,10,-19,-28,-1,-14,-26
官田區,-24,-14,-21,-5,-6,-11,6,21,6,9,-1,11
大內區,6,9,-18,-23,1,-19,14,6,7,4,7,-7
佳里區,-16,-7,3,56,-12,-2,-7,-16,-10,-33,-19,5
學甲區,-26,-20,-15,-12,6,-3,15,-33,-18,-7,-15,-22
西港區,-14,-11,3,7,10,38,14,4,-10,-25,0,0
七股區,35,24,8,-29,-30,-3,-12,-15,-24,7,15,19
將軍區,-7,-17,-2,-27,-17,2,-10,-8,-7,2,-5,-12
北門區,-8,-4,-27,-20,-13,0,-6,0,-21,-5,-20,-10
新化區,7,-6,29,29,-14,-21,6,12,-40,13,-11,-15
善化區,-5,28,118,56,54,85,27,67,45,54,41,63
新市區,36,2,42,29,33,-5,32,36,20,16,61,-1
安定區,11,10,34,31,29,18,7,31,0,7,-5,-28
山上區,-11,-6,-10,-3,9,-6,-6,-1,8,-6,-12,-1
玉井區,5,-1,-8,7,10,-4,-19,0,-1,-1,-3,-2
楠西區,-8,-5,-17,-2,-8,-8,9,-5,11,-17,5,-11
南化區,-9,-16,5,2,-12,-4,-3,-12,10,4,8,11
左鎮區,-1,-5,3,-5,-3,-3,-2,-1,-3,-2,2,1
仁德區,70,19,55,86,133,60,111,66,60,14,4,-8
歸仁區,-2,31,-2,12,31,30,-23,13,14,-29,-5,41
關廟區,-1,24,-12,4,13,20,22,-1,-8,-16,-3,-44
龍崎區,2,-1,-1,-15,-5,-14,2,-3,3,-13,0,1
永康區,110,59,-6,91,-30,95,73,54,31,-14,73,62
東區,-90,12,-172,-105,-171,-50,-107,-263,-159,-29,-178,92
南區,-4,55,-41,-14,39,2,21,26,28,31,-34,-25
北區,21,38,-47,89,63,20,-30,-30,82,75,-11,37
安南區,43,23,60,85,86,108,141,133,59,71,70,-17
安平區,35,30,14,-31,7,13,49,38,-6,2,27,45
中西區,-34,-70,64,-31,-108,-90,-127,-28,-114,-102,129,132
總計,32,203,7,269,6,175,244,20,-162,-14,36,212
