區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
新營區,8,-32,-57,-175,-78,12,-13,5,-45,76,1,127
鹽水區,0,-9,-40,-50,-1,-3,17,-5,-3,3,25,8
白河區,3,-18,-51,-16,-4,-10,-4,-4,-22,-15,-2,-4
柳營區,-13,-6,-9,-13,-11,16,16,-16,-2,-1,18,19
後壁區,-27,0,-53,-21,33,-13,0,1,-15,0,5,-1
東山區,-49,-18,-23,-38,3,-2,11,-6,-4,6,-9,-28
麻豆區,-34,-47,-57,-45,-1,-17,16,20,7,23,20,16
下營區,-18,-35,-45,-24,-1,-1,-16,-29,18,6,-7,18
六甲區,-26,3,4,-8,20,-14,12,13,-8,19,7,25
官田區,-20,-18,-27,-11,-3,33,35,3,4,5,2,-10
大內區,-22,-3,-30,-7,8,-9,3,9,-8,0,-3,-4
佳里區,-12,-26,-35,-84,-58,-33,42,30,-27,5,12,24
學甲區,-5,-15,9,-28,1,-4,-16,10,3,16,39,-11
西港區,35,12,32,95,6,46,17,29,37,12,36,0
七股區,25,26,-31,3,-55,12,-27,-16,15,-4,16,12
將軍區,1,-17,-13,-5,-1,30,7,-8,-2,3,-22,-8
北門區,-16,-6,-8,1,-5,-21,-5,-6,-2,-2,-1,-2
新化區,-83,-18,-29,-94,-11,31,-1,-13,14,28,-5,66
善化區,78,14,-11,127,93,33,31,104,71,33,68,71
新市區,15,-6,-85,-52,36,-8,19,5,26,3,-31,59
安定區,-19,-11,-36,-42,20,-9,33,-3,-4,-7,-8,11
山上區,5,-3,-6,-8,11,19,30,11,13,-3,-6,-4
玉井區,-20,-22,-11,-3,7,-6,-8,1,-13,8,6,-3
楠西區,8,-1,-33,4,-17,-5,1,-5,-5,19,4,8
南化區,-4,-6,-11,-2,0,-6,9,-9,-5,-1,0,-22
左鎮區,11,-5,6,-1,1,0,6,-5,4,-5,4,4
仁德區,9,57,-31,-108,34,73,110,130,123,112,21,120
歸仁區,-38,14,-30,-6,12,-11,47,26,-52,63,56,77
關廟區,-29,11,-82,-67,-8,26,25,-15,-21,-23,5,-1
龍崎區,-3,-6,2,-1,-5,-5,-2,4,1,-2,1,3
永康區,-68,-134,-285,-345,30,0,88,128,-62,71,99,242
東區,-358,-216,-370,-589,-310,-132,-104,-19,-72,128,308,310
南區,-168,-169,-316,-280,-32,45,36,59,-52,20,134,123
北區,-251,-171,-415,-325,-87,-117,-19,-12,-43,28,12,163
安南區,96,51,-30,-68,134,392,249,416,454,134,197,319
安平區,-57,-44,-85,-82,107,85,120,115,112,127,99,181
中西區,-42,-154,-180,-168,17,42,96,-45,27,124,254,204
總計,"-1,088","-1,028","-2,472","-2,536",-115,469,861,903,462,"1,009","1,355","2,112"
