鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路252號14樓,14.34,商,,,1020410,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,223.56,4,2,2,有,無,16380000,73269,坡道平面,17.12,0,,RPPOMLNKJIJFFAE27CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路250號15樓之1,8.87,商,,,1020419,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.39,3,2,2,有,無,9800000,69312,坡道平面,17.12,0,,RPQOMLNKJIJFFAE37CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號9樓之1,8.87,商,,,1020409,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.4,3,2,2,有,無,9780000,69165,坡道平面,17.13,0,,RPROMLNKJIJFFAE47CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路250號10樓,13.54,商,,,1020226,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.22,4,2,2,有,無,15100000,71830,坡道平面,14.82,0,,RPSOMLNKJIJFFAE57CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號8樓,13.56,商,,,1020217,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.98,4,2,2,有,無,15200000,71705,坡道平面,17.12,0,,RPTOMLNKJIJFFAE67CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號15樓之1,8.87,商,,,1020426,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.4,3,2,2,有,無,9960000,70438,坡道平面,17.13,0,,RPUOMLNKJIJFFAE77CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路246號14樓之1,8.66,商,,,1011228,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.78,3,2,2,有,無,10150000,72614,坡道平面,17.12,0,,RPVOMLNKJIJFFAE87CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號11樓之1,8.87,商,,,1020630,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.4,3,2,2,有,無,9930000,70226,坡道平面,17.13,0,,RPWOMLNKJIJFFAE97CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號10樓之1,8.87,商,,,1020509,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.39,3,2,2,有,無,10300000,72848,坡道平面,17.12,0,,RPXOMLNKJIJFFAE08CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路250號14樓,13.54,商,,,1020214,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.98,4,2,2,有,無,15530000,73262,坡道平面,17.12,0,,RPOPMLNKJIJFFAE27CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路252號15樓,14.34,商,,,1020101,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,223.56,4,2,2,有,無,16360000,73179,坡道平面,17.12,0,,RPPPMLNKJIJFFAE37CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路252號7樓,14.34,商,,,1020502,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,224.64,4,2,2,有,無,15900000,70780,坡道平面,17.12,0,,RPQPMLNKJIJFFAE47CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路246號10樓之1,8.66,商,,,1020112,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.44,3,2,2,有,無,9930000,70706,坡道平面,17.12,0,,RPRPMLNKJIJFFAE57CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路252號14樓之1,8.66,商,,,1020221,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.48,3,2,2,有,無,9580000,69683,坡道平面,14.82,0,,RPSPMLNKJIJFFAE67CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路252號8樓,14.34,商,,,1020330,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,223.57,4,2,2,有,無,15880000,71029,坡道平面,17.13,0,,RPTPMLNKJIJFFAE77CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號8樓之1,8.87,商,,,1020603,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.4,3,2,2,有,無,9930000,70226,坡道平面,17.13,0,,RPUPMLNKJIJFFAE87CB,104_01
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路248號10樓,13.56,商,,,1020226,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.22,4,2,2,有,無,15180000,72210,坡道平面,14.82,0,,RPVPMLNKJIJFFAE97CB,104_01
