鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
中寮鄉,土地,中寮段910-3地號,6374.0,,山坡地保育區,農牧用地,1031223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,204.0,,0.0,0,,RPQNMLNJKHKFFAM97CA,0.0,0.0,0.0,,,104_02
名間鄉,土地,田寮段808地號,4131.94,,特定農業區,農牧用地,1031231,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3620000,876.0,,0.0,0,,RPOOMLNJKHKFFAM87CA,0.0,0.0,0.0,,,104_02
南投市,土地,包尾段736-12地號,64.0,農,,,1031224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,910950,14234.0,,0.0,0,本件買賣權利人連前持分全部。,RPROMLNJKHKFFAM18CA,0.0,0.0,0.0,,,104_02
南投市,土地,包尾段562地號,28.65,住,,,1040116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,3490.0,,0.0,0,,RPQNMLOJKHKFFAM08CA,0.0,0.0,0.0,,,104_02
名間鄉,土地,名松段171地號,99.2,住,,,1040121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,3024.0,,0.0,0,賣方急需用錢,RPXNMLOJKHKFFAM78CA,0.0,0.0,0.0,,,104_02
南投市,房地(土地+建物),南投縣南投巿信義街１號五樓之6,8.5,住,,,1040109,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821110,75.84,2,2,1,有,無,1400000,18457.0,,0.0,0,,RPXNMLPJKHKFFAM88CA,45.11,0.0,6.34,,,104_02
南投市,土地,新小半山段585地號,2088.48,,山坡地保育區,農牧用地,1040119,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2715024,1300.0,,0.0,0,,RPOOMLTJKHKFFAM48CA,0.0,0.0,0.0,,,104_02
南投市,房地(土地+建物),南投縣南投巿東山路一街６１巷４號,164.03,,鄉村區,乙種建築用地,1040112,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0790330,144.2,6,2,3,有,無,4300000,29820.0,,0.0,0,,RPXNMLKKKHKFFAM48CA,144.2,0.0,0.0,,,104_02
南投市,土地,內興段783-2地號,380.17,農,,,1031130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8050000,21175.0,,0.0,0,,RPTNMLLKKHKFFAM18CA,0.0,0.0,0.0,,,104_02
南投市,土地,內興段783-1地號,661.16,農,,,1031115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13800000,20872.0,,0.0,0,,RPUNMLLKKHKFFAM28CA,0.0,0.0,0.0,,,104_02
