鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
大林鎮,土地,新興段新興小段23地號,314.89,住,,,1041227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,38109.0,,0.0,0,,RPXNMLPKJHLFFCQ96CA,0.0,0.0,0.0,,,104_05
民雄鄉,土地,建國段433地號,1.88,住,,,1041210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34032,18102.0,,0.0,0,,RPSNMLQLJHLFFCQ66CA,0.0,0.0,0.0,,,104_05
民雄鄉,土地,建國段433地號,2.34,住,,,1041130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42500,18162.0,,0.0,0,,RPTNMLQLJHLFFCQ76CA,0.0,0.0,0.0,,,104_05
新港鄉,房地(土地+建物),嘉義縣新港鄉三間村６鄰三間厝２０９號,104.5,,工業區,丁種建築用地,1041230,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,960424.0,163.84,3,2,3,有,無,3700000,22583.0,,0.0,0,,RPWNMLSKJHLFFCQ17CA,136.78,27.06,0.0,,,104_05
水上鄉,房地(土地+建物),嘉義縣水上鄉溪洲村外溪洲５４５號,104.02,,一般農業區,甲種建築用地,1041211,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,870117.0,163.35,3,3,2,有,無,2000000,12244.0,,0.0,0,,RPPNMLNLJHLFFDQ78CA,132.3,16.65,14.4,,,104_05
大埔鄉,土地,埔南段218地號,7155.68,住,,,1041204,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27191584,3800.0,,0.0,0,二親等買賣。現做農業使用。,RPPNMLSKJHLFFDQ56CA,0.0,0.0,0.0,,,104_05
水上鄉,土地,下塗溝段下塗溝小段9地號,2402.0,,特定農業區,農牧用地,1041214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,1624.0,,0.0,0,,RPUNMLPJJHLFFDQ66CA,0.0,0.0,0.0,,,104_05
太保市,房地(土地+建物),嘉義縣太保巿南新里南埤路１２０巷８０號,283.97,工,,,1041203,土地1建物1車位0,一層,一層,工廠,見其他登記事項,鋼造,860220.0,169.29,0,1,1,有,無,9878500,,,0.0,0,,RPQNMLQJJHLFFDQ98CA,169.29,0.0,0.0,,,104_05
太保市,土地,麻寮段673-1地號,16.37,住,,,1041208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,496000,30299.0,,0.0,0,,RPPNMLOJJHLFFDQ68CA,0.0,0.0,0.0,,,104_05
太保市,土地,麻寮段673-1地號,27.28,住,,,1041208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,826000,30279.0,,0.0,0,,RPQNMLOJJHLFFDQ78CA,0.0,0.0,0.0,,,104_05
水上鄉,房地(土地+建物),嘉義縣水上鄉三和村頂寮７之１9號,156.39,住,,,1041218,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040908.0,237.05,4,3,5,有,無,7500000,31639.0,,0.0,0,,RPOOMLRJJHLFFDQ98CA,214.4,0.0,22.65,,,104_05
中埔鄉,土地,吳鳳廟段1646地號,24.34,其他,,,1041223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,10682.0,,0.0,0,,RPWOMLQJJHLFFDQ07CA,0.0,0.0,0.0,,,104_05
水上鄉,房地(土地+建物),嘉義縣水上鄉下寮村２鄰鴿溪寮２０之４４號,164.15,住,,,1041204,土地1建物1車位0,全,一層,透天厝,住家用,磚造,660813.0,77.46,3,2,1,有,無,3000000,38730.0,,0.0,0,,RPQNMLRJJHLFFDQ09CA,77.46,0.0,0.0,,,104_05
太保市,土地,茄苳段春珠小段886-1地號,860.0,,,,1041217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1290000,1500.0,,0.0,0,,RPPNMLMJJHLFFDQ48CA,0.0,0.0,0.0,,,104_05
大埔鄉,土地,埔北段582地號,60.28,住,,,1041222,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,12442.0,,0.0,0,包含公共設施保留地之交易。,RPWNMLMKJHLFFDQ66CA,0.0,0.0,0.0,,,104_05
水上鄉,土地,粗溪段粗溪小段349地號,4018.0,,特定農業區,農牧用地,1041209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,2041.0,,0.0,0,,RPQNMLTJJHLFFDQ66CA,0.0,0.0,0.0,,,104_05
水上鄉,土地,南靖段南和小段591地號,2772.0,,特定農業區,農牧用地,1041214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,1750.0,,0.0,0,,RPUNMLLKJHLFFDQ98CA,0.0,0.0,0.0,,,104_05
水上鄉,土地,南靖段南和小段578地號,3940.0,,特定農業區,農牧用地,1041211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6750000,1713.0,,0.0,0,,RPVNMLLKJHLFFDQ09CA,0.0,0.0,0.0,,,104_05
水上鄉,土地,南靖段南和小段591-1地號,2772.0,,特定農業區,農牧用地,1041211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,1750.0,,0.0,0,,RPWNMLLKJHLFFDQ56CA,0.0,0.0,0.0,,,104_05
中埔鄉,土地,竹頭崎段109-2地號,2029.0,,山坡地保育區,暫未編定,1041221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,123.0,,0.0,0,,RPWOMLOKJHLFFDQ96CA,0.0,0.0,0.0,,,104_05
新港鄉,土地,海豐子段海豐小段1165地號,3275.0,,特定農業區,農牧用地,1041222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,1099.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUOMLOJJHLFFCQ56CA,0.0,0.0,0.0,,,104_05
溪口鄉,土地,厝子段厝子小段109地號,6716.0,,特定農業區,農牧用地,1041215,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5885400,876.0,,0.0,0,三七五租約土地,RPPNMLPJJHLFFCQ68CA,0.0,0.0,0.0,,,104_05
大林鎮,土地,下埤頭段136地號,1052.0,,特定農業區,農牧用地,1041224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,2376.0,,0.0,0,,RPQNMLPJJHLFFCQ78CA,0.0,0.0,0.0,,,104_05
大林鎮,土地,大湖段湖北小段441地號,3594.0,,特定農業區,農牧用地,1041224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5031600,1400.0,,0.0,0,,RPRNMLPJJHLFFCQ88CA,0.0,0.0,0.0,,,104_05
新港鄉,土地,新港段宮後小段171-1地號,90.75,其他,,,1040624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,335775,3700.0,,0.0,0,協議價購之土地,RPPNMLQJJHLFFCQ78CA,0.0,0.0,0.0,,,104_05
新港鄉,土地,新港段宮後小段135-2地號,584.0,其他,,,1041009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160800,3700.0,,0.0,0,協議價購之土地,RPRNMLQJJHLFFCQ98CA,0.0,0.0,0.0,,,104_05
新港鄉,土地,新港段宮後小段136-1地號,388.0,其他,,,1041009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1435600,3700.0,,0.0,0,協議價購之土地,RPTNMLQJJHLFFCQ56CA,0.0,0.0,0.0,,,104_05
