鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
田尾鄉,房地(土地+建物),彰化縣田尾鄉光復路一段３８７巷５號,103.84,,特定農業區,甲種建築用地,1040626,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,790326.0,132.0,4,2,3,有,無,3150000,23864.0,,0.0,0,,RPWNMLRKQHKFFFN67CA,132.0,0.0,0.0,,,104_04
埔心鄉,土地,新興段478地號,1252.68,農,,,1040724,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3227500,2576.0,,0.0,0,,RPPNMLTKQHKFFHN37CA,0.0,0.0,0.0,,,104_04
溪州鄉,土地,進樂段617-1地號,501.12,住,,,1040715,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10600000,21153.0,,0.0,0,含未辦保存建物,RPPNMLLKQHKFFFN66CD,0.0,0.0,0.0,,,104_04
線西鄉,房地(土地+建物),彰化縣線西鄉興農路201巷86號,2064.0,,特定農業區,農牧用地,1040722,土地1建物1車位0,一層,一層,農舍,農舍,見其他登記事項,1040706.0,45.65,0,0,1,無,無,7430000,,,0.0,0,1.簽約人指定權利人，為登記名義人。2.配合興建農舍，總價未含保存登記建物。,RPUNMLLLQHKFFBN66DA,45.65,0.0,0.0,,,104_04
和美鎮,土地,中寮北段736地號,105.03,,鄉村區,乙種建築用地,1040714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,821789,7824.0,,0.0,0,含增建或未登記建物。,RPPNMLSJRHKFFBN76DA,0.0,0.0,0.0,,,104_04
大村鄉,土地,大庄段816地號,96.59,商,,,1040703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3506160,36299.0,,0.0,0,,RPRNMLRKQHKFFDN07DA,0.0,0.0,0.0,,,104_04
田尾鄉,房地(土地+建物),彰化縣田尾鄉建平路一段160巷33號,135.88,,鄉村區,乙種建築用地,1040715,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,681205.0,94.38,4,1,2,有,無,4500000,47680.0,,0.0,0,,RPUNMLOKQHKFFFN27DA,94.38,0.0,0.0,,,104_04
田尾鄉,土地,芳圃段492地號,203.56,農,,,1040804,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,10316.0,,0.0,0,親友、員工或其他特殊關係間之交易。包含公共設施保留地之交易。本案約定為賣清,RPVNMLOKQHKFFFN37DA,0.0,0.0,0.0,,,104_04
秀水鄉,土地,復興段55地號,2823.0,,特定農業區,農牧用地,1040803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17000000,6022.0,,0.0,0,,RPUOMLLLQHKFFAN66DA,0.0,0.0,0.0,,,104_04
彰化市,土地,南郭段南郭小段549-12地號,9.65,住,,,1040724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,12435.0,,0.0,0,,RPPPMLSKQHKFFAN86DA,0.0,0.0,0.0,,,104_04
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉合興村斗苑西路430巷17-4號,115.74,住,,,1040728,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,821001.0,110.41,4,2,2,有,無,4100000,37134.0,,0.0,0,,RPSNMLPKQHKFFFN17DA,110.41,0.0,0.0,,,104_04
和美鎮,房地(土地+建物),彰化縣和美鎮和頭路313號,73.0,,鄉村區,乙種建築用地,1040724,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040115.0,159.59,4,2,3,有,無,7000000,43862.0,,0.0,0,,RPWNMLQLQHKFFBN37DA,135.5,0.0,24.09,,,104_04
鹿港鎮,土地,鹿安段1235地號,108.38,,鄉村區,乙種建築用地,1040729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,983550,9075.0,,0.0,0,,RPQNMLTKQHKFFCN07DA,0.0,0.0,0.0,,,104_04
田尾鄉,土地,芳圃段493-1地號,203.56,農,,,1040804,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,10316.0,,0.0,0,親友、員工或其他特殊關係間之交易。包含公共設施保留地之交易。本案約定為賣清,RPPNMLMKQHKFFFN76CD,0.0,0.0,0.0,,,104_04
埔鹽鄉,土地,三省段953地號,1170.0,,特定農業區,農牧用地,1040629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4070000,3479.0,,0.0,0,,RPPNMLNKQHKFFHN07CD,0.0,0.0,0.0,,,104_04
大村鄉,土地,南勢段709地號,2416.91,工,,,1040723,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55570000,22992.0,,0.0,0,,RPQNMLRJQHKFFDN07CD,0.0,0.0,0.0,,,104_04
埔鹽鄉,土地,新水段993地號,2500.0,,特定農業區,農牧用地,1040706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7650000,3060.0,,0.0,0,,RPPNMLPLQHKFFHN07CA,0.0,0.0,0.0,,,104_04
埔鹽鄉,土地,永昌段1214-3地號,472.33,,鄉村區,乙種建築用地,1040712,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2381000,5041.0,,0.0,0,畸零地或有合併使用之交易。包括私設巷道之交易,RPRNMLOLQHKFFHN17CA,0.0,0.0,0.0,,,104_04
溪湖鎮,土地,湖西段664-2地號,19.84,住,,,1040806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,142848,7200.0,,0.0,0,包含公共設施保留地之交易。畸零地或有合併使用之交易。需另擬定細部計畫負擔公共設施之交易,RPTNMLOLQHKFFHN37CA,0.0,0.0,0.0,,,104_04
溪湖鎮,土地,湖西段664-2地號,51.94,住,,,1040806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,373952,7200.0,,0.0,0,畸零地或有合併使用之交易。包含公共設施保留地之交易。需另擬定細部計畫負擔公共設施之交易,RPWNMLOLQHKFFHN67CA,0.0,0.0,0.0,,,104_04
埔鹽鄉,土地,永昌段933-3地號,570.0,住,,,1040611,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10334925,18131.0,,0.0,0,,RPPNMLSKQHKFFHN27CA,0.0,0.0,0.0,,,104_04
北斗鎮,土地,中寮段563-3地號,211.0,,鄉村區,乙種建築用地,1040603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2420000,11469.0,,0.0,0,,RPPNMLTKQHKFFFN17CA,0.0,0.0,0.0,,,104_04
田尾鄉,土地,芳富段423地號,76.78,其他,,,1040801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,16931.0,,0.0,0,,RPROMLOLQHKFFFN07CA,0.0,0.0,0.0,,,104_04
田尾鄉,土地,芳富段423地號,111.23,其他,,,1040801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1880000,16902.0,,0.0,0,,RPSOMLOLQHKFFFN17CA,0.0,0.0,0.0,,,104_04
溪州鄉,房地(土地+建物),彰化縣溪州鄉農家路２００巷９號,77.0,住,,,1040628,土地1建物1車位0,全,四層,透天厝,住宅,鋼筋混凝土造,1040108.0,158.09,4,2,3,有,無,6200000,39218.0,,0.0,0,,RPRNMLNJRHKFFFN76CA,150.94,0.0,7.15,,,104_04
溪州鄉,房地(土地+建物),彰化縣溪州鄉農家路２００巷７號,97.0,住,,,1040724,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040108.0,168.08,4,3,2,有,無,6800000,40457.0,,0.0,0,,RPSNMLNJRHKFFFN86CA,160.78,0.0,7.3,,,104_04
溪州鄉,房地(土地+建物),彰化縣溪州鄉農家路２１６號,91.0,住,,,1040630,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040108.0,184.86,4,3,5,有,無,7500000,40571.0,,0.0,0,,RPTNMLNJRHKFFFN96CA,168.58,0.0,16.28,,,104_04
北斗鎮,房地(土地+建物),彰化縣北斗鎮光中路214巷80弄3號,101.74,住,,,1040720,土地2建物1車位0,全,四層,透天厝,住宅,鋼筋混凝土造,1040520.0,188.71,4,2,3,有,無,6680000,35398.0,,0.0,0,,RPQOMLQLQHKFFFN17CA,173.21,0.0,15.5,,,104_04
芳苑鄉,土地,芳成段475-2地號,349.0,,鄉村區,乙種建築用地,1040810,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1345000,3854.0,,0.0,0,,RPSNMLRKQHKFFGN37CA,0.0,0.0,0.0,,,104_04
