區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
斗六市,55,56,34,3,10,43,32,15,48,-7,-34,16
斗南鎮,-36,8,-37,-31,-51,-15,-31,-17,-39,-35,0,-11
虎尾鎮,89,-2,-22,14,36,18,56,46,45,-45,25,43
西螺鎮,-34,-5,-50,38,-30,20,-46,-68,-43,-23,-38,5
土庫鎮,-45,-9,-22,-11,-38,-6,-32,-24,-16,-35,-2,-17
北港鎮,-50,-43,-73,14,-14,-8,-80,-51,-14,-27,-31,-18
古坑鄉,-45,-20,-19,-25,-7,-7,-41,6,-18,-11,-23,-14
大埤鄉,-26,-16,-30,-14,-23,-13,-12,-15,-1,0,6,-19
莿桐鄉,-28,-47,-15,-64,-43,2,-36,-2,-34,-18,-4,0
林內鄉,-24,-42,-42,70,49,-9,-40,-16,-44,-46,-49,-24
二崙鄉,16,13,-30,-17,-43,-31,-54,-29,-48,1,-22,-19
崙背鄉,-34,-22,-18,-17,-56,-19,-31,-19,-16,-51,-2,4
麥寮鄉,44,7,-5,24,10,33,56,-7,80,182,49,72
東勢鄉,-48,-40,-57,-40,-53,0,-16,-42,-23,-13,-18,-18
褒忠鄉,-13,-5,-26,-25,-24,-28,-42,-5,-14,5,-5,-8
臺西鄉,-23,-18,-50,-37,-27,-16,-37,-3,-15,-16,-38,3
元長鄉,-52,-40,-27,-42,-40,-27,-17,-3,-22,10,0,-23
四湖鄉,-83,-58,-62,-53,-22,-53,-33,-30,-32,-46,-14,13
口湖鄉,-55,-33,-62,-55,-34,-44,-21,-21,-39,-18,2,-32
水林鄉,-45,-29,-41,-34,-28,-60,14,-19,-35,-22,-4,2
總計,-437,-345,-654,-302,-428,-220,-411,-304,-280,-215,-202,-45
