區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
斗六市,52,-5,105,21,15,12,8,32,22,49,5,-58
斗南鎮,36,35,-7,-34,18,-5,29,-4,-20,5,-5,11
虎尾鎮,14,11,-44,40,35,-4,22,46,14,-12,12,-33
西螺鎮,-12,-7,-3,-45,43,-19,-30,6,-44,13,15,-8
土庫鎮,-23,34,19,-3,-6,14,-28,-15,-21,-15,-34,-44
北港鎮,-27,-34,-4,18,-30,10,-21,98,-43,-62,-39,-13
古坑鄉,1,-10,7,-13,-24,11,19,-31,-50,-19,-27,9
大埤鄉,-7,-20,-18,-13,-24,20,-9,0,-1,-3,-17,-14
莿桐鄉,7,-4,-18,-21,0,9,8,-26,7,-7,-21,-25
林內鄉,-19,-16,29,93,11,-3,-24,-48,-64,-123,-43,-20
二崙鄉,-5,-13,12,-9,-7,-2,-28,-19,-31,-20,-10,-13
崙背鄉,5,-3,-16,-1,-17,-10,-13,12,-8,-7,-3,-3
麥寮鄉,31,7,-45,-23,89,26,35,46,138,112,61,33
東勢鄉,-5,-33,-4,-23,-25,1,3,-14,-25,-14,-5,6
褒忠鄉,-7,-10,-1,-10,-13,-5,-14,-16,-8,-5,-2,-6
臺西鄉,-16,-23,-14,-7,14,-5,2,-11,-10,-19,2,-31
元長鄉,-22,-30,0,14,-29,-9,-7,-6,-27,-7,-28,-10
四湖鄉,-18,-3,-29,-25,46,-9,-4,-41,-36,8,-11,-17
口湖鄉,-7,-37,-30,-21,12,-24,-27,-21,-35,-14,-24,-17
水林鄉,-29,-54,-37,-15,-11,6,-11,-55,-37,5,1,-31
總計,-51,-215,-98,-77,97,14,-90,-67,-279,-135,-173,-284
