區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
斗六市,125,121,139,133,69,90,79,0,46,12,43,-34
斗南鎮,73,40,52,62,15,39,23,-11,-26,4,11,-10
虎尾鎮,115,25,142,88,70,25,6,22,-2,22,16,59
西螺鎮,40,40,64,30,-10,-27,-43,-7,-50,-46,-50,-44
土庫鎮,19,19,-40,2,17,19,-25,-32,-41,-17,14,12
北港鎮,19,47,74,34,22,41,-24,-75,-35,-42,-17,-37
古坑鄉,36,12,-29,-2,24,-12,-15,-17,-31,-5,-27,-37
大埤鄉,-9,18,-28,-1,4,5,-1,-8,-19,11,-27,-1
莿桐鄉,19,-2,-1,-3,25,11,-22,-7,-1,16,26,25
林內鄉,7,25,0,106,10,21,-28,-26,-21,-58,-51,-12
二崙鄉,9,10,6,-3,-9,-5,-9,-9,-21,8,-24,-29
崙背鄉,-4,-2,8,-15,6,1,-11,-19,-35,-30,1,-24
麥寮鄉,-1,-53,-34,50,11,25,22,43,12,58,9,24
東勢鄉,0,-8,-18,-16,-24,-9,-8,-29,6,-15,-9,-19
褒忠鄉,10,1,19,-7,2,-12,-5,-24,-12,-10,-16,-15
臺西鄉,13,-15,-42,-13,4,1,-30,-23,-22,-42,-24,-38
元長鄉,20,-46,-7,-13,-4,2,2,-21,-18,-5,-17,-45
四湖鄉,17,-10,-21,-8,-24,-10,1,-22,-18,-18,-45,-19
口湖鄉,-1,-20,-23,-9,-33,-28,-12,-41,-21,-34,-28,-41
水林鄉,-4,-11,-35,-4,38,-6,-18,-15,-25,-28,-11,-38
總計,503,191,226,411,213,171,-118,-321,-334,-219,-226,-323
