區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
斗六市,50,67,59,10,-56,-13,-23,37,-49,-15,7,36
斗南鎮,-27,12,-14,-9,-27,-7,-23,-39,-15,-27,-28,-3
虎尾鎮,15,10,13,-9,16,17,59,37,-29,-5,-29,-24
西螺鎮,0,16,-14,2,-2,68,-10,-11,3,22,-25,-20
土庫鎮,-23,-1,2,-25,7,47,10,-22,-3,1,-25,10
北港鎮,-44,8,-20,21,-6,24,-5,-61,-3,-40,-15,-24
古坑鄉,-6,-22,-12,3,22,18,-14,-27,4,-13,-8,-62
大埤鄉,-22,-18,-34,-14,14,1,23,-6,6,-14,-28,-14
莿桐鄉,-37,-23,-1,-26,5,-2,-4,-6,-15,-1,4,-13
林內鄉,-22,-16,2,42,58,10,-13,4,-19,-99,-47,-28
二崙鄉,-8,-5,-8,23,-56,2,-20,-41,-39,-19,12,-49
崙背鄉,-25,6,1,10,-27,-12,-3,-21,-15,-25,-13,-42
麥寮鄉,8,-44,-22,-20,40,19,39,55,70,126,44,129
東勢鄉,-12,7,55,37,24,-4,3,-17,-13,-9,-20,-40
褒忠鄉,-1,-24,15,52,18,2,0,-4,-11,8,-20,-47
臺西鄉,5,-15,-18,52,47,-3,17,-24,-9,-20,-26,-54
元長鄉,-12,12,-34,7,12,2,7,5,-1,-12,-52,-52
四湖鄉,-10,-1,-32,-18,-23,-1,-11,-15,-12,-35,-33,-29
口湖鄉,-14,-20,4,7,-10,-3,6,-8,-50,-11,-28,-53
水林鄉,3,-2,35,31,25,-16,30,-8,-23,-43,-31,-37
總計,-182,-53,-23,176,81,149,68,-172,-223,-231,-361,-416
