區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
鹽埕區,-26,0,-15,-50,-32,-22,-24,-34,-110,-66,-48,-16
鼓山區,31,14,-91,-45,-42,38,-164,-238,-120,-128,-92,-121
左營區,-29,-45,28,54,-53,-148,-33,-50,-223,-50,-143,-109
楠梓區,118,83,66,-3,79,29,33,50,82,-23,-50,-30
三民區,-217,-137,-238,-175,-262,-485,-295,-276,-478,-163,-266,-329
新興區,-35,-35,5,-103,-106,-79,-97,-116,-136,-72,-66,-79
前金區,2,-4,-16,-30,7,8,-66,6,5,2,-7,-41
苓雅區,-44,-138,-34,-144,-256,-77,-203,-202,-321,-248,-259,-231
前鎮區,-71,-177,-208,-203,-147,-146,-132,-295,-213,-264,-273,-270
旗津區,-37,-27,-44,-20,-2,-38,-32,-82,-42,-36,-64,-47
小港區,-157,-128,-116,-130,-88,-53,-22,-147,-100,-128,-73,-85
鳳山區,-55,-101,-193,-31,-186,-47,-96,-51,-10,-318,-300,-224
林園區,1,-7,-98,-6,37,-28,-69,-26,-62,18,-69,-45
大寮區,15,54,-20,-92,-8,27,13,11,-57,32,-43,-117
大樹區,-18,-26,-31,-13,10,-8,-35,-10,-55,-54,-44,-42
大社區,-8,-22,-22,-8,-11,15,-25,-45,-26,-29,-37,14
仁武區,58,66,30,172,169,138,197,171,256,57,30,77
鳥松區,-36,-23,-16,-3,-54,-15,-19,-120,-96,-58,-39,-31
岡山區,-30,27,-19,-31,-73,-50,-128,-119,-161,-96,-144,8
橋頭區,20,60,77,74,85,113,217,210,155,68,90,30
燕巢區,-8,-38,-22,-15,-7,28,-21,13,-6,-14,-3,-11
田寮區,-3,-5,-9,8,5,3,-2,1,-9,-4,-6,-13
阿蓮區,9,-29,-4,-27,-4,-19,-32,-6,-39,-44,-24,-26
路竹區,-6,-34,-13,-27,-25,-57,-23,-81,-17,-45,-24,-71
湖內區,-4,-12,-10,-14,-29,-11,23,7,-47,-11,-23,-28
茄萣區,-2,2,-13,4,-7,-6,-2,5,2,-24,-1,-6
永安區,-33,-9,4,-28,-23,15,-14,-3,-14,-1,-1,27
彌陀區,-8,-16,-17,-7,-10,-17,-12,11,-36,-19,-17,-20
梓官區,-30,-18,-7,-10,-32,15,-56,-26,-42,3,-33,-41
旗山區,5,2,-42,-22,0,-52,-51,-42,-43,-34,-23,-40
美濃區,-14,-43,-27,-37,-18,-13,-42,-21,-48,-15,-12,-16
六龜區,-6,20,-16,-24,-13,-11,-16,-16,-10,-14,-6,-10
甲仙區,-7,0,-3,-8,-6,0,-10,-4,11,3,3,1
杉林區,-12,-12,-10,-22,-7,-8,-20,-4,-7,4,1,-11
內門區,-7,4,-7,-8,2,4,-6,-4,-3,-10,-10,-20
茂林區,-8,-3,-3,-7,-3,-8,-1,-8,-1,1,0,4
桃源區,1,-2,-20,-3,1,-1,10,-6,-3,-4,-3,0
那瑪夏區,-4,4,-1,-1,-3,-6,0,3,-3,1,1,-7
總計,-655,-755,"-1,175","-1,035","-1,112",-972,"-1,255","-1,544","-2,027","-1,783","-2,078","-1,976"
