區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
鹽埕區,-1,1,7,-37,-20,-7,53,-7,-24,-11,-32,29
鼓山區,62,50,57,52,11,119,161,149,149,29,61,-22
左營區,107,71,-54,169,98,53,63,119,96,22,61,126
楠梓區,212,207,140,171,75,93,155,203,147,110,136,175
三民區,-168,-110,-99,-66,-162,8,-171,-151,-424,-36,-10,-30
新興區,22,72,18,0,9,-36,86,-35,-33,-23,6,77
前金區,35,1,3,20,-13,31,9,16,26,-15,41,34
苓雅區,-45,-59,0,-99,-75,-8,-47,26,-126,49,-34,20
前鎮區,-95,-40,-148,-35,1,10,43,7,-72,-54,17,-87
旗津區,-36,-20,-74,-21,-8,-21,-35,-26,-24,-8,-23,-24
小港區,-8,19,-31,-17,-7,-40,70,2,-45,18,21,-12
鳳山區,68,30,107,83,6,-60,37,8,-146,-61,-68,11
林園區,-7,-1,14,10,-16,8,-39,-22,-39,-15,-5,2
大寮區,2,38,-11,0,-14,77,-3,-34,-63,-76,-52,40
大樹區,-17,-15,-31,-10,-15,3,16,-25,-3,2,0,-4
大社區,24,1,23,-81,-12,-7,-29,1,-7,-1,-23,-50
仁武區,221,69,172,153,116,134,212,103,265,94,37,50
鳥松區,66,110,66,-13,-12,51,74,21,57,52,-2,18
岡山區,9,34,83,-38,13,7,0,-27,-26,19,1,13
橋頭區,-1,-34,31,85,116,64,140,95,117,9,34,-2
燕巢區,5,4,-23,18,24,33,-17,-4,-7,5,-41,1
田寮區,-4,1,-7,-1,-2,-5,2,-3,-3,-3,-2,-14
阿蓮區,-7,-36,-26,1,-10,-13,-28,-6,-29,-18,-3,-5
路竹區,-16,21,-14,-19,-44,-49,-6,-64,-78,18,2,-26
湖內區,-3,-25,2,4,5,-7,23,19,-16,-25,-28,-12
茄萣區,-44,-17,-28,-5,-21,1,19,34,38,-2,-29,15
永安區,-16,-8,-27,-14,10,-9,-18,-18,4,-13,-13,-9
彌陀區,5,-10,-30,1,-23,-14,-11,-13,-16,-5,-7,-7
梓官區,-26,-20,-35,-22,-8,-29,-19,8,16,3,-19,17
旗山區,-1,-18,16,13,-28,-47,-15,-10,-26,-4,26,20
美濃區,10,7,-16,3,-21,-10,-25,-20,-2,27,-17,-38
六龜區,-24,-7,-14,-30,-9,2,-6,-33,-24,-22,-9,-10
甲仙區,-16,4,-13,-13,2,5,4,-6,2,9,2,-7
杉林區,-11,-34,6,10,5,-1,8,19,0,9,-4,-10
內門區,-28,-11,-21,-18,-10,-12,-11,-19,-3,-10,-16,-2
茂林區,-8,-5,-5,-5,-1,3,-12,-6,-9,-6,-1,-8
桃源區,-2,3,-7,-6,-13,-10,-10,-8,7,-1,-7,2
那瑪夏區,-1,-7,3,-3,-7,-1,4,1,2,4,-6,-7
總計,263,266,34,240,-60,316,677,294,-319,70,-6,264
