鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１２６巷８７弄７號五樓,25.42,都市：其他:科技商務服務專用區,,,1081108,土地3建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1040325.0,171.67000000000002,4,2,2,有,有,7480000,43572.0,坡道平面,0.0,0,,RPWPMLTJKIOFFCJ17CA,90.66,0.0,8.53,,,108_05
竹東鎮,房地(土地+建物),新竹縣竹東鎮中興路一段１４７巷５６號,121.32,,山坡地保育區,丙種建築用地,1081108,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,,265.32,5,2,3,有,有,7450000,28079.0,,0.0,0,,RPXPMLTJKIOFFCJ27CA,215.06,5.83,16.87,,,108_05
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路二段１０１巷２９號十三樓,65.88,,特定農業區,丁種建築用地,1081102,土地3建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1020822.0,268.76,4,2,2,有,有,8750000,32557.0,坡道平面,28.12,0,,RPPQMLTJKIOFFCJ56CA,161.89,0.0,9.01,,,108_05
寶山鄉,土地,明湖段1416地號,573.02,,山坡地保育區,丙種建築用地,1081120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16200000,28271.0,,0.0,0,,RPPNMLQJKIOFFCJ58CA,0.0,0.0,0.0,,,108_05
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生五路３５０號十四樓之６,16.65,商,,,1081109,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621.0,142.61,2,2,1,有,有,6980000,48945.0,坡道平面,38.93,0,,RPWNMLKKKIOFFDJ88CA,61.04,0.0,5.06,,,108_05
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生五路３５０號十四樓之２,15.69,商,,,1081109,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621.0,136.64999999999998,2,2,1,有,有,6680000,48884.0,坡道平面,38.93,0,,RPTNMLKKKIOFFDJ58CA,57.56,0.0,4.77,,,108_05
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生五路３５０號七樓之１,18.52,商,,,1081112,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621.0,154.28,2,2,2,有,有,7650000,49585.0,坡道平面,38.93,0,,RPQNMLLKKIOFFDJ38CA,67.77,0.0,5.78,,,108_05
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生五路３５０號十樓之５,16.68,商,,,1081101,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621.0,142.88,2,2,2,有,有,7000000,48992.0,坡道平面,38.93,0,,RPVNMLLKKIOFFDJ88CA,61.07,0.0,5.23,,,108_05
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生五路３５０號十樓之６,16.65,商,,,1081117,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621.0,142.61,2,2,2,有,有,6500000,45579.0,坡道平面,38.93,0,,RPXNMLLKKIOFFDJ09CA,61.04,0.0,5.06,,,108_05
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉學府街７２巷２０之１號,26.53,住,,,1081102,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070213.0,90.97,3,2,2,有,有,6800000,74810.0,坡道機械,9.43,700000,,RPRNMLTJKIOFFDJ56CA,57.58,0.0,2.9,,,108_05
