鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
泰山區,房地(土地+建物)+車位,新北市泰山區明志路三段478號A2-6F,54.94,工,,,1070607,土地1建物1車位2,六層,19,工廠,工業用,鋼筋混凝土造,,325.49,0,0,0,無,無,22000000,,坡道平面,56.66,2200000,,RPTSMLPKJINFFBF88CB,九揚高峰會,,108_01
泰山區,房地(土地+建物)+車位,新北市泰山區明志路三段478號A2-8F,59.34,工,,,1070508,土地1建物1車位3,八層,19,工廠,工業用,鋼筋混凝土造,,351.54,0,0,0,無,無,21500000,,坡道平面,82.71,3300000,,RPUSMLPKJINFFBF98CB,九揚高峰會,,108_01
泰山區,房地(土地+建物)+車位,新北市泰山區明志路三段478號A3-3F,55.22,工,,,1070825,土地1建物1車位2,三層,19,工廠,工業用,鋼筋混凝土造,,327.18,0,0,0,無,無,20850000,,坡道平面,56.66,2200000,,RPVSMLPKJINFFBF09CB,九揚高峰會,,108_01
泰山區,房地(土地+建物)+車位,新北市泰山區明志路三段478號A5-12F,55.87,工,,,1070525,土地1建物1車位2,十二層,19,工廠,工業用,鋼筋混凝土造,,330.95,0,0,0,無,無,23600000,,坡道平面,61.8,2200000,,RPWSMLPKJINFFBF56CB,九揚高峰會,,108_01
三峽區,房地(土地+建物)+車位,新北市三峽區民生段425地號A103F,29.37,住,,,1060819,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.1,3,2,2,有,無,10380000,68947.0,坡道平面,25.58,1450000,,RPWNMLMLJINFFIF56CB,樂河郡-禮河,,108_01
三峽區,房地(土地+建物)+車位,新北市三峽區民生段425地號A105F,29.37,住,,,1061118,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.1,3,2,2,有,無,10650000,71418.0,坡道平面,25.58,1400000,,RPQNMLNLJINFFIF68CB,樂河郡-禮河,,108_01
三峽區,房地(土地+建物)+車位,新北市三峽區民生段425地號A106F,29.37,住,,,1060722,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.1,3,2,2,有,無,10520000,70414.0,坡道平面,25.58,1400000,,RPRNMLNLJINFFIF78CB,樂河郡-禮河,,108_01
三峽區,房地(土地+建物)+車位,新北市三峽區民生段425地號A107F,29.37,住,,,1060903,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.1,3,2,2,有,無,10630000,71263.0,坡道平面,25.58,1400000,,RPPNMLOLJINFFIF68CB,樂河郡-禮河,,108_01
三峽區,房地(土地+建物)+車位,新北市三峽區民生段425地號A108F,29.37,住,,,1070317,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.1,3,2,2,有,無,10800000,72576.0,坡道平面,25.58,1400000,,RPQNMLOLJINFFIF78CB,樂河郡-禮河,,108_01
三峽區,房地(土地+建物)+車位,新北市三峽區民生段425地號A109F,29.37,住,,,1070310,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.1,3,2,2,有,無,10750000,72190.0,坡道平面,25.58,1400000,,RPRNMLOLJINFFIF88CB,樂河郡-禮河,,108_01
