鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
鳳林鎮,房地(土地+建物),花蓮縣鳳林鎮中和路１８２號,130.0,住,,,1071228,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,640829.0,158.11,3,2,2,有,無,200000,1265.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLMLKHOFFBU96CA,158.11,0.0,0.0,,,108_02
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街６之３號,78.0,住,,,1071220,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,820320.0,217.9,6,2,4,有,無,12000000,55071.0,,0.0,0,,RPUOMLQLKHOFFAU57CA,198.64,0.0,19.26,,,108_02
秀林鄉,土地,下崇德段556地號,2527.2,農,,,1071228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2514600,995.0,,0.0,0,,RPWNMLTKLHOFFAU97CA,0.0,0.0,0.0,,,108_02
吉安鄉,土地,光明段60地號,2980.46,,一般農業區,農牧用地,1071214,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18030000,6049.0,,0.0,0,,RPQOMLSKLHOFFAU37CA,0.0,0.0,0.0,,,108_02
花蓮市,房地(土地+建物),花蓮縣花蓮市仁愛街７２號,60.0,商,,,1071226,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,230101.0,57.5,4,2,2,有,無,7500000,130435.0,,0.0,0,本案交易總價含公有土地承租權一併轉讓。,RPRNMLRJLHOFFAU37EA,57.5,0.0,0.0,,,108_02
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛五街６５號,157.0,住,,,1071219,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060824.0,348.18,6,2,7,有,無,24600000,70653.0,,0.0,0,,RPPNMLOJLHOFFAU66CA,317.01,0.0,31.17,,,108_02
花蓮市,土地,林森段1829地號,22.77,住,,,1071212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,263000,11550.0,,0.0,0,,RPQOMLQLLHOFFAU27CA,0.0,0.0,0.0,,,108_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路２１６號,136.0,,鄉村區,乙種建築用地,1071228,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,700915.0,205.95,5,3,3,有,無,7500000,36417.0,,0.0,0,,RPOOMLMKLHOFFAU56CA,205.95,0.0,0.0,,,108_02
花蓮市,房地(土地+建物),花蓮縣花蓮市德安六街１０５巷１０號三樓,19.26,住,,,1071205,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870403.0,121.41,3,2,2,有,有,3600000,29652.0,,0.0,0,,RPQNMLSJLHOFFAU17CA,79.89,0.0,7.13,,,108_02
花蓮市,房地(土地+建物),花蓮縣吉安鄉自立路４２號,144.0,住,,,1071231,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,690421.0,189.2,3,1,2,有,無,9100000,48097.0,,0.0,0,,RPSOMLTJMHOFFAU67CA,189.2,0.0,0.0,,,108_02
