鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
中埔鄉,土地,王爺段1310地號,158.64,,鄉村區,乙種建築用地,1100501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1679601,10588.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJNHGGFDQ98EA,0.0,0.0,0.0,無,,110_02
竹崎鄉,土地,瓦厝埔段87地號,124.25,,一般農業區,丙種建築用地,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,483.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKNHGGFEQ68DA,0.0,0.0,0.0,無,,110_02
大林鎮,土地,新興段新興小段67-4地號,107.05,都市：其他:住,,,1100502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4921500,45974.0,,0.0,0,,RPTNMLLKNHGGFCQ98EA,0.0,0.0,0.0,無,,110_02
大林鎮,土地,新興段新興小段67-5地號,105.4,都市：其他:住,,,1100502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4845500,45972.0,,0.0,0,,RPUNMLLKNHGGFCQ09EA,0.0,0.0,0.0,無,,110_02
朴子市,土地,文化段105地號,30.0,,,,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,980000,32667.0,,0.0,0,畸零地或有合併使用效益；,RPRNMLKKNHGGFBQ48DA,0.0,0.0,0.0,無,,110_02
六腳鄉,土地,魚寮段318地號,759.15,,一般農業區,水利用地,1100508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,132.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLSJNHGGFBQ66DA,0.0,0.0,0.0,無,,110_02
東石鄉,房地(土地+建物),港墘１３６之１號,110.89,,鄉村區,乙種建築用地,1100504,土地4建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,810507.0,185.89,4,3,2,有,無,4800000,25822.0,,0.0,0,,RPQNMLKKNHGGFBQ38DA,176.12,9.77,0.0,無,,110_02
布袋鎮,土地,貴舍段515地號,197.11,,鄉村區,乙種建築用地,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,507.0,,0.0,0,,RPUNMLOKNHGGFBQ56DA,0.0,0.0,0.0,無,1.0,110_02
布袋鎮,土地,貴舍段515地號,98.56,,鄉村區,乙種建築用地,1100507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1522.0,,0.0,0,,RPVNMLOKNHGGFBQ66DA,0.0,0.0,0.0,無,1.0,110_02
梅山鄉,土地,梅南段516地號,2.0,都市：其他:商,,,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,190000.0,,0.0,0,畸零地或有合併使用效益；,RPQNMLOKNHGGFEQ56EA,0.0,0.0,0.0,無,,110_02
竹崎鄉,土地,崎腳段180地號,3161.37,,一般農業區,農牧用地,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2130200,674.0,,0.0,0,,RPQNMLNKNHGGFEQ09EA,0.0,0.0,0.0,無,3.0,110_02
太保市,土地,南珠段18-9地號,167.99,,鄉村區,乙種建築用地,1100504,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2780000,16549.0,,0.0,0,,RPSNMLKKNHGGFDQ78DA,0.0,0.0,0.0,無,,110_02
太保市,房地(土地+建物),安仁里祥和一路東段４２巷４５號四樓之５,9.74,住,,,1100502,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930803.0,26.59,1,0,1,有,無,530000,19932.0,,0.0,0,,RPVNMLMKNHGGFDQ66DA,15.13,0.0,1.67,有,,110_02
太保市,房地(土地+建物),安仁里頂港子墘４０之７號四樓之４８,8.07,,鄉村區,乙種建築用地,1100508,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,940815.0,24.07,0,0,0,無,有,636000,26423.0,,0.0,0,,RPPOMLOKNHGGFDQ98DA,14.18,0.0,1.97,有,,110_02
太保市,房地(土地+建物),安仁里頂港子墘４０之７號四樓之３３,8.07,,鄉村區,乙種建築用地,1100508,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,940815.0,24.07,0,0,0,無,有,636000,26423.0,,0.0,0,,SPPOMLOKNHGGFDQ09DA,14.18,0.0,1.97,有,,110_02
鹿草鄉,土地,山子段山小段893地號,4700.0,,特定農業區,農牧用地,1100504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5400000,1149.0,,0.0,0,,RPSNMLNKNHGGFDQ56EA,0.0,0.0,0.0,無,,110_02
義竹鄉,土地,東後寮段光榮小段16-1地號,1937.0,,特定農業區,農牧用地,1100504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,774.0,,0.0,0,,RPPNMLOJNHGGFBQ58DA,0.0,0.0,0.0,無,,110_02
東石鄉,土地,三塊厝段三家小段681地號,1341.0,,一般農業區,農牧用地,1100507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,373.0,,0.0,0,,RPPNMLOKNHGGFBQ68DA,0.0,0.0,0.0,無,,110_02
新港鄉,房地(土地+建物),三間村７鄰三間厝５３１號二樓二,32.15,,工業區,丁種建築用地,1100501,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,880629.0,86.06,3,2,2,有,無,1520000,17662.0,,0.0,0,,RPWNMLRKNHGGFCQ17DA,70.13,0.0,8.46,無,4.0,110_02
民雄鄉,房地(土地+建物),金興村集福街１０巷３８號,113.51,,,,1100503,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,701217.0,120.57,4,3,2,有,無,3660000,30356.0,,0.0,0,,RPUNMLRKNHGGFCQ07EA,111.4,0.0,9.17,無,,110_02
民雄鄉,房地(土地+建物),福村福８８號之３３,29.41,都市：其他:住,,,1100507,土地1建物1車位0,全,一層,透天厝,住家用,磚造,661105.0,28.98,2,2,1,有,無,570000,19669.0,,0.0,0,其他增建；,RPSNMLSKNHGGFCQ96EA,28.98,0.0,0.0,無,,110_02
太保市,房地(土地+建物),過溝里過溝４５之４７號,85.0,住,,,1100504,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,830215.0,168.83,3,2,2,有,無,3800000,22508.0,,0.0,0,,RPSNMLRKNHGGFDQ96EA,133.98,34.85,0.0,無,,110_02
梅山鄉,土地,梅東段1776地號,83.0,都市：其他:農,,,1100501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,36145.0,,0.0,0,含傢俱設備費；未登記建物；,RPPNMLRKNHGGFEQ66DA,0.0,0.0,0.0,無,,110_02
太保市,房地(土地+建物),安仁里公園北街４５號四樓之６,9.74,住,,,1100502,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930803.0,26.75,1,0,1,有,無,530000,19813.0,,0.0,0,,RPTNMLMKNHGGFDQ09DA,15.13,0.0,1.67,有,,110_02
番路鄉,土地,大湖段108-109地號,2046.0,,森林區,林業用地,1100511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,98.0,,0.0,0,,RPSNMLTKNHGGFEQ17DA,0.0,0.0,0.0,無,,110_02
水上鄉,土地,柳林段82地號,127.1,,鄉村區,乙種建築用地,1100510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1614480,12702.0,,0.0,0,,RPSNMLSKNHGGFDQ07EA,0.0,0.0,0.0,無,,110_02
水上鄉,土地,溪安段219地號,200.18,,一般農業區,農牧用地,1100508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,1748.0,,0.0,0,,RPPNMLRKNHGGFDQ66EA,0.0,0.0,0.0,無,5.0,110_02
梅山鄉,土地,梅東段565地號,96.62,都市：其他:農,,,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,2070.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKNHGGFEQ96EA,0.0,0.0,0.0,無,6.0,110_02
大林鎮,房地(土地+建物),平林里莊敬街１７６巷３號三樓,27.57,都市：其他:住,,,1100506,土地5建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720312.0,69.22,3,2,1,有,無,1900000,27449.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKNHGGFCQ86EA,61.33,0.0,0.0,無,7.0,110_02
大林鎮,房地(土地+建物),中坑里大埔美園區一路１６號,4166.54,,工業區,丁種建築用地,1100505,土地1建物2車位0,全,一層,透天厝,工業用,鋼骨構造,1080426.0,1289.31,5,0,3,有,無,54500000,42271.0,,0.0,0,,RPUNMLSKNHGGFCQ07DA,1223.16,66.15,0.0,無,,110_02
東石鄉,房地(土地+建物),栗子崙５７０號,80.0,,一般農業區,甲種建築用地,1100506,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,690517.0,119.44,3,2,2,有,無,1300000,10884.0,,0.0,0,,RPOOMLOKNHGGFBQ68DA,119.44,0.0,0.0,無,,110_02
東石鄉,房地(土地+建物),猿樹村１１７之１４號,139.67,,一般農業區,甲種建築用地,1100502,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,761009.0,135.04,2,1,2,有,無,1100000,8146.0,,0.0,0,,RPRNMLRKNHGGFBQ56DA,128.0,7.04,0.0,無,,110_02
六腳鄉,土地,蘇厝段1198地號,291.95,,鄉村區,乙種建築用地,1100501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1940000,6645.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSKNHGGFBQ66DA,0.0,0.0,0.0,無,8.0,110_02
義竹鄉,土地,溪洲段溪洲小段482-1地號,305.0,,鄉村區,乙種建築用地,1100511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,553500,1815.0,,0.0,0,該土地地理位置不佳沒有出入口.,RPSNMLSKNHGGFBQ76DA,0.0,0.0,0.0,無,,110_02
朴子市,土地,崁前段崁前小段481地號,4811.0,,特定農業區,農牧用地,1100512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6013750,1250.0,,0.0,0,,RPRNMLTJNHGGFBQ66DA,0.0,0.0,0.0,無,,110_02
新港鄉,土地,大潭段精忠小段304地號,316.0,,鄉村區,乙種建築用地,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,6329.0,,0.0,0,,RPSNMLPJNHGGFCQ09DA,0.0,0.0,0.0,無,,110_02
新港鄉,土地,埤子頭段埤子頭小段460地號,871.0,,特定農業區,農牧用地,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1530000,1757.0,,0.0,0,,RPRNMLTKNHGGFCQ96EA,0.0,0.0,0.0,無,,110_02
溪口鄉,土地,溪口段溪口小段81-1地號,1995.0,,特定農業區,農牧用地,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2294250,1150.0,,0.0,0,,RPSNMLTKNHGGFCQ07EA,0.0,0.0,0.0,無,,110_02
溪口鄉,土地,溪西段40-8地號,261.19,都市：其他:農,,,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,9572.0,,0.0,0,,RPUNMLTKNHGGFCQ27EA,0.0,0.0,0.0,無,,110_02
番路鄉,土地,公田段9-38地號,479.0,,森林區,農牧用地,1100504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,95800,200.0,,0.0,0,,RPRNMLOKNHGGFEQ66EA,0.0,0.0,0.0,無,,110_02
中埔鄉,土地,光興段314地號,1536.46,,特定農業區,農牧用地,1100510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,3319.0,,0.0,0,,RPQNMLRKNHGGFDQ76EA,0.0,0.0,0.0,無,,110_02
番路鄉,土地,大湖段93-11地號,1190.0,,森林區,農牧用地,1100511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,330000,277.0,,0.0,0,,RPTNMLTKNHGGFEQ27DA,0.0,0.0,0.0,無,,110_02
水上鄉,土地,仁安段496地號,373.3,,鄉村區,乙種建築用地,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4516869,12100.0,,0.0,0,,RPPNMLTKNHGGFDQ76DA,0.0,0.0,0.0,無,,110_02
中埔鄉,土地,灣潭子段59-36地號,3030.0,,山坡地保育區,農牧用地,1100512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,198.0,,0.0,0,,RPSNMLKLNHGGFDQ98EA,0.0,0.0,0.0,無,,110_02
溪口鄉,土地,溪東段311地號,122.12,都市：其他:住,,,1100513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2880000,23583.0,,0.0,0,,RPSNMLLLNHGGFCQ98EA,0.0,0.0,0.0,無,,110_02
大林鎮,土地,大湖段湖北小段349地號,5344.0,,特定農業區,農牧用地,1100513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5344000,1000.0,,0.0,0,,RPWNMLNKNHGGFCQ76DA,0.0,0.0,0.0,無,,110_02
溪口鄉,土地,溪西段280地號,160.11,,,,1100503,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1332871,8325.0,,0.0,0,未登記建物；,RPQNMLKLNHGGFCQ58DA,0.0,0.0,0.0,無,,110_02
大林鎮,土地,西結段509地號,29.68,,鄉村區,乙種建築用地,1100504,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,112810,3801.0,,0.0,0,,RPVNMLKLNHGGFCQ09DA,0.0,0.0,0.0,無,,110_02
義竹鄉,房地(土地+建物),新店１２９之５號,71.91,,鄉村區,乙種建築用地,1100506,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,720404.0,125.6,4,1,2,有,無,1000000,7962.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLKLNHGGFBQ56DA,118.4,7.2,0.0,無,,110_02
東石鄉,土地,鰲鼓段73-57地號,1634.0,,一般農業區,養殖用地,1100512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,817000,500.0,,0.0,0,,RPQOMLKLNHGGFBQ58DA,0.0,0.0,0.0,無,,110_02
