鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B07棟12樓,18.39,商,,,1090818,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.37,3,2,2,有,無,7250000,50520,坡道平面,29.26,980000,,RPXRNLQLOHGGFDK37CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B07棟13樓,18.39,商,,,1081224,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.37,3,2,2,有,無,7170000,50761,坡道平面,29.26,870000,,RPOSNLQLOHGGFDK56CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B07棟14樓,18.39,商,,,1081121,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.37,3,2,2,有,無,7180000,50036,坡道平面,29.26,970000,,RPPSNLQLOHGGFDK66CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B07棟15樓,18.39,商,,,1081016,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.37,3,2,2,有,無,7150000,50600,坡道平面,29.26,870000,,RPQSNLQLOHGGFDK76CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B08棟2樓,12.89,商,,,1090901,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.65,2,2,1,有,無,5660000,53941,坡道平面,29.26,1000000,,RPRSNLQLOHGGFDK86CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B08棟3樓,12.89,商,,,1090824,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.46,2,2,1,有,無,5550000,56025,坡道機械,17.07,710000,,RPSSNLQLOHGGFDK96CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B08棟4樓,12.89,商,,,1070227,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.46,2,2,1,有,無,4780000,47806,坡道機械,17.07,650000,,RPTSNLQLOHGGFDK07CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B08棟5樓,12.89,商,,,1090419,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.65,2,2,1,有,無,5970000,57530,坡道平面,29.26,1000000,,RPUSNLQLOHGGFDK17CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B08棟6樓,12.89,商,,,1070503,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.65,2,2,1,有,無,5250000,49196,坡道平面,29.26,1000000,,RPVSNLQLOHGGFDK27CB,遠雄新苑,,110_02
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔一街B08棟7樓,12.89,商,,,1090715,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.65,2,2,1,有,無,6170000,59266,坡道平面,29.26,1050000,,RPWSNLQLOHGGFDK37CB,遠雄新苑,,110_02
