鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
民雄鄉,土地,秀林段1612地號,545.1,,一般農業區,甲種建築用地,1060827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6430817,11797.0,,0.0,0,,RPVNMLTKMHNFFCQ67CA,0.0,0.0,0.0,,,107_02
民雄鄉,土地,秀林段1612地號,113.56,,一般農業區,甲種建築用地,1060827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1339754,11798.0,,0.0,0,,RPWNMLTKMHNFFCQ77CA,0.0,0.0,0.0,,,107_02
民雄鄉,土地,秀林段1612地號,113.56,,一般農業區,甲種建築用地,1060827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1339754,11798.0,,0.0,0,,RPWNMLLLNHNFFCQ17CA,0.0,0.0,0.0,,,107_02
民雄鄉,房地(土地+建物),嘉義縣民雄鄉文隆村鴨母?２之５６號,96.31,住,,,1060330,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1061124.0,211.69,3,2,2,有,無,10000000,47239.0,,0.0,0,,RPSNMLOKKHNFFCQ66CA,189.27,22.42,0.0,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉吳竹街９０巷１號,237.65,都市：其他:公共設施保留地道路用地,,,1051226,土地1建物1車位0,全,一層,透天厝,住家用,磚造,,69.68,2,1,1,有,無,3323916,47703.0,,0.0,0,,RPWNMLQKNHNFFDQ77DA,69.68,0.0,0.0,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１８巷１８號,100.54,住,,,1050522,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,185.83,3,2,3,有,無,7880000,42404.0,,0.0,0,,RPQNMLQKNHNFFDQ07CA,170.63,0.0,15.2,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１８巷２號,97.31,住,,,1050527,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,175.6,3,2,3,有,無,7700000,43850.0,,0.0,0,,RPWNMLNLNHNFFDQ47CA,166.02,0.0,9.58,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１８巷６號,95.74,住,,,1050411,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,178.07,3,2,3,有,無,7300000,40995.0,,0.0,0,,RPUNMLNLNHNFFDQ27CA,166.02,0.0,12.05,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１８巷８號,95.77,住,,,1050406,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,178.07,3,2,3,有,無,7300000,40995.0,,0.0,0,,RPVNMLNLNHNFFDQ37CA,166.02,0.0,12.05,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１８巷１２號,95.83,住,,,1050428,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,178.07,3,2,3,有,無,7250000,40714.0,,0.0,0,,RPXNMLNLNHNFFDQ57CA,166.02,0.0,12.05,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１８巷２２弄２號,100.34,住,,,1050415,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,165.44,3,2,3,有,無,6590000,39833.0,,0.0,0,,RPOOMLNLNHNFFDQ76CA,151.95,0.0,13.49,,,107_02
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街１０號,93.34,住,,,1050407,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061018.0,189.56,3,2,3,有,無,8000000,42203.0,,0.0,0,,RPTNMLQKNHNFFDQ37CA,177.01,0.0,12.55,,,107_02
