區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
苗栗市,-70,-26,-49,-38,-78,-10,-20,-57,-96,-79,-33,-86
苑裡鎮,0,-8,-62,-94,-100,-99,-155,-127,-43,-32,-36,-55
通霄鎮,-33,-51,-115,-65,-44,-25,-82,-100,-75,-73,-30,-12
竹南鎮,69,-16,30,80,67,-10,21,14,66,26,25,39
頭份鎮,8,78,6,-33,22,-1,36,49,6,-53,-18,-58
後龍鎮,-32,-24,-52,-69,-61,-28,-54,-31,-66,-26,-41,0
卓蘭鎮,-22,-2,-44,-39,-24,-13,-21,-55,-39,-4,-41,-23
大湖鄉,-25,-31,-33,-2,-16,-12,-35,-2,-14,-10,-18,-23
公館鄉,-34,3,-32,-60,-66,-6,-48,-62,-16,-15,-1,9
銅鑼鄉,-25,-13,-43,-6,-24,-11,-19,-13,10,-15,-15,-38
南庄鄉,-10,-11,-12,-6,-15,5,-2,-6,-6,-7,7,12
頭屋鄉,12,-2,-18,-21,-26,-3,-18,-36,-5,-1,-5,-17
三義鄉,0,-16,-23,-35,-28,-40,-7,-28,-23,-19,-11,0
西湖鄉,-5,0,-17,-13,-14,9,-6,-24,-14,0,-9,9
造橋鄉,-4,-13,7,-26,0,12,-12,3,-41,-28,-26,0
三灣鄉,-7,-12,-18,2,-4,-3,-15,-26,-11,0,2,-19
獅潭鄉,1,-6,-12,-16,-3,-13,2,-7,-9,-5,1,-8
泰安鄉,-3,6,-23,-22,-19,-13,-12,-22,-8,-2,-4,-11
總計,-180,-144,-510,-463,-433,-261,-447,-530,-384,-343,-253,-281
