區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
苗栗市,-6,22,-25,-22,-35,-41,6,-59,-57,-41,-30,-103
苑裡鎮,-17,-9,43,18,8,-5,5,-33,0,-26,-7,-1
通霄鎮,-49,-25,-52,-21,-12,-10,-17,-49,-39,-18,-32,-38
竹南鎮,10,49,31,68,30,43,21,65,-7,3,45,-1
頭份鎮,91,121,8,136,36,23,128,59,30,70,34,65
後龍鎮,-44,-21,-21,-19,6,-11,-6,-45,-30,-23,-32,-14
卓蘭鎮,-14,-5,-24,-34,-31,-8,-15,-12,-29,-25,-24,-3
大湖鄉,-28,-3,-22,1,-18,-16,-27,-15,-47,-25,-9,-16
公館鄉,-6,2,-26,-25,-17,-25,-31,-32,-25,-42,-22,-54
銅鑼鄉,-19,-37,-24,-21,-30,-1,-22,-27,-43,-1,-39,-10
南庄鄉,-5,-10,-31,-17,16,-10,-10,1,-19,-9,-11,-13
頭屋鄉,-7,-8,-8,-27,-7,-5,-25,-14,-26,-12,-8,3
三義鄉,-14,-7,-28,-29,-20,-30,-22,-29,-23,-17,15,0
西湖鄉,-11,-7,-2,-16,-3,2,-10,0,-15,-4,-3,-10
造橋鄉,-4,1,-10,-6,-6,-7,-4,-17,-21,-18,-12,-22
三灣鄉,-3,-6,-10,-15,-13,-7,-20,0,-17,-3,-15,5
獅潭鄉,-1,3,2,-5,0,0,-5,-4,19,5,16,14
泰安鄉,-20,-20,-7,-11,-12,-5,5,-11,13,-5,0,1
總計,-147,40,-206,-45,-108,-113,-49,-222,-336,-191,-134,-197
