區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
苗栗市,112,-15,39,5,17,36,82,2,-39,-8,3,8
苑裡鎮,7,33,0,18,-25,-19,-4,22,-15,-21,40,4
通霄鎮,1,-19,-34,-38,-17,-22,23,-30,-35,27,6,27
竹南鎮,74,107,74,167,84,87,102,145,176,23,111,69
頭份鎮,122,119,118,83,171,106,172,122,83,149,76,43
後龍鎮,0,-7,-2,-6,-23,-15,-31,-27,-6,-1,7,38
卓蘭鎮,-27,-13,-23,-16,-12,2,-4,-34,-9,-10,-5,-53
大湖鄉,-16,-8,-21,6,-7,-21,-3,2,-43,-18,-18,-19
公館鄉,-7,-12,-52,19,5,-33,-20,-20,-4,13,7,-19
銅鑼鄉,-15,5,18,-22,-20,-12,3,-4,-28,-5,11,-9
南庄鄉,-1,-5,-4,2,-3,-13,-19,1,14,-14,-8,0
頭屋鄉,-13,-16,-2,-8,4,-4,-5,5,7,-12,-3,-13
三義鄉,-16,-23,5,-21,-22,-2,-27,-18,-2,-8,6,-18
西湖鄉,-13,-10,-14,-3,-19,-11,-4,-15,-16,-14,-2,-8
造橋鄉,4,10,-11,4,15,-4,37,15,-11,13,1,7
三灣鄉,-4,-4,-1,-13,-15,-6,-16,-1,8,-14,-8,1
獅潭鄉,-1,-11,-6,13,9,-8,-5,-4,-4,-4,-7,-5
泰安鄉,-5,-9,-10,-13,-17,1,-8,-10,1,-14,4,-8
總計,202,122,74,177,125,62,273,151,77,82,221,45
