區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
苗栗市,-68,-75,-61,-49,-5,-70,7,-87,-40,-48,-66,-61
苑裡鎮,-89,-76,-100,-66,-106,-70,-80,-103,-60,-60,-42,-95
通霄鎮,-30,-23,-66,-61,-70,-33,-43,-57,-59,-47,-42,-50
竹南鎮,-8,74,27,6,61,28,77,99,38,14,23,41
頭份鎮,-6,-29,-12,-7,-39,-15,-14,-11,-50,-38,37,33
後龍鎮,-13,4,-15,-14,-49,-14,-20,-29,-41,-47,-22,-49
卓蘭鎮,-29,-32,-54,-55,-36,-29,-17,-20,-33,-15,-26,-37
大湖鄉,1,-27,-20,-30,-41,-8,-6,-30,-14,-13,-22,-22
公館鄉,-21,-3,-41,-8,-43,-32,-45,-55,-10,-31,-25,-48
銅鑼鄉,-28,-6,-22,-10,-19,9,-20,-11,-38,-25,-40,-38
南庄鄉,-1,-19,-9,-15,-16,-5,-18,-19,-7,-9,-5,-20
頭屋鄉,-3,-27,-17,-21,-33,-6,-27,-27,-28,-3,-27,4
三義鄉,-19,-5,-20,-5,-5,-40,-26,-23,-19,-21,-32,-11
西湖鄉,-10,4,-7,-4,-5,-2,-2,4,-17,-6,-10,-15
造橋鄉,-7,-30,-13,-12,-34,-13,-1,-6,-1,-8,-25,-25
三灣鄉,-10,-16,-5,2,1,-7,-8,3,-6,-16,6,6
獅潭鄉,-5,-9,-7,-2,5,18,-3,-7,-4,-3,5,5
泰安鄉,-5,-3,-12,-17,-18,3,4,-9,9,15,7,13
總計,-351,-298,-454,-368,-452,-286,-242,-388,-380,-361,-306,-369
