區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
臺東市,-56,-69,-119,-72,-15,-49,-25,1,-37,46,8,56
成功鎮,2,3,-11,5,7,20,15,-6,3,8,-4,-1
關山鎮,-11,-3,-7,11,3,-1,1,-3,-11,-13,-7,-3
卑南鄉,2,9,-11,-17,-7,31,52,40,28,4,-12,-1
大武鄉,-5,5,5,2,14,31,19,-15,1,-2,0,1
太麻里鄉,-7,2,-23,17,-17,27,-6,0,19,0,7,-3
東河鄉,19,-9,-1,17,19,-3,38,14,-5,-13,-5,0
長濱鄉,-2,11,4,21,11,-13,28,5,0,-6,12,-8
鹿野鄉,-8,-17,-8,-23,11,-12,-6,-14,2,1,-3,9
池上鄉,16,14,7,11,8,9,13,-5,-11,20,-3,-9
綠島鄉,-4,14,36,24,38,15,23,18,-1,-3,5,-5
延平鄉,-4,8,20,10,12,11,1,7,-7,4,-1,-15
海端鄉,24,10,8,-1,9,-6,3,1,4,-2,10,17
達仁鄉,9,-2,9,4,16,-1,36,5,-4,-4,-5,-6
金峰鄉,0,20,22,12,1,2,11,5,-3,-4,-5,-1
蘭嶼鄉,0,-4,14,4,0,0,-9,5,20,3,0,4
總計,-25,-8,-55,25,110,61,194,58,-2,39,-3,35
