區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
臺東市,-14,-1,-72,-50,39,-32,-55,-52,1,-1,-4,22
成功鎮,-19,-6,-7,17,14,3,1,-16,-5,-14,-10,-22
關山鎮,-1,13,14,11,-4,-2,9,1,-7,-3,-14,-6
卑南鄉,-13,-3,30,35,-24,-49,-1,13,-15,12,-7,-25
大武鄉,0,-10,-5,13,27,1,17,-9,-14,-6,-13,-32
太麻里鄉,5,18,3,30,18,-16,7,2,6,-8,0,-28
東河鄉,-7,11,2,29,15,15,1,0,4,10,-6,-15
長濱鄉,-4,-1,10,22,7,17,1,7,-14,-10,8,-11
鹿野鄉,-7,6,-19,-1,11,9,-1,3,-5,-3,9,-10
池上鄉,-9,8,-7,8,14,4,1,0,-2,-10,-8,3
綠島鄉,32,27,50,44,21,4,-7,-12,-10,2,-5,-4
延平鄉,13,-3,42,25,15,9,10,1,-11,-3,-12,-19
海端鄉,-2,4,-8,-20,0,2,5,1,0,10,-4,-13
達仁鄉,5,5,53,39,11,6,19,-4,-5,-8,-4,-28
金峰鄉,16,14,20,19,12,8,13,-8,0,4,-5,-2
蘭嶼鄉,4,-12,-2,2,13,-3,0,22,-4,10,26,13
總計,-1,70,104,223,189,-24,20,-51,-81,-18,-49,-177
