區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
臺東市,102,-13,87,24,32,27,35,9,-10,16,13,67
成功鎮,-6,18,-11,5,-12,-8,14,-16,2,6,7,9
關山鎮,-2,5,-9,9,-21,-6,-9,15,-10,-4,-9,1
卑南鄉,-17,-18,-8,12,-12,-2,1,-36,5,-18,-2,-9
大武鄉,-3,0,-3,-6,-8,1,4,-9,-8,-7,-3,-12
太麻里鄉,17,5,-6,-8,14,6,10,-8,1,-8,0,-15
東河鄉,-8,-16,11,-9,-16,-9,-13,-5,6,0,2,-13
長濱鄉,5,-1,-5,1,-4,8,15,17,-15,6,2,8
鹿野鄉,-5,-13,-9,-1,-15,4,3,-6,-1,2,7,-2
池上鄉,-3,-4,-12,-17,-7,-4,1,-10,-4,-5,-2,-6
綠島鄉,-2,1,27,6,25,20,12,11,5,8,-9,-6
延平鄉,1,-17,-8,-2,0,-2,-5,-4,-10,-6,3,-12
海端鄉,0,1,1,0,0,-5,-5,14,4,8,13,10
達仁鄉,-5,-4,-6,1,-2,-11,1,-19,-6,6,2,15
金峰鄉,-23,6,-4,6,8,-1,-4,5,4,-1,-1,14
蘭嶼鄉,-4,-3,7,9,30,17,4,13,-4,-3,-9,-8
總計,47,-53,52,30,12,35,64,-29,-41,0,14,41
