區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
宜蘭市,45,-1,57,-4,19,-13,-34,38,-22,-16,3,-70
羅東鎮,15,-42,-9,-3,28,-64,-63,-83,-21,-15,-5,-12
蘇澳鎮,-6,-20,1,10,-14,3,-3,7,-38,-32,-19,-24
頭城鎮,-24,8,-11,6,4,3,-13,3,-12,3,-17,-7
礁溪鄉,3,-13,-22,23,-1,16,-6,-14,-16,-9,17,1
壯圍鄉,-27,22,2,-5,4,11,30,-16,-9,-4,6,59
員山鄉,15,20,-9,17,-5,20,42,-2,26,-20,-12,-22
冬山鄉,12,65,24,-3,24,18,37,-11,-100,-9,-55,-33
五結鄉,78,15,-35,38,75,0,18,47,24,11,32,12
三星鄉,-5,-1,-10,5,17,30,-4,19,28,-6,-7,11
大同鄉,-3,-2,-5,-12,-22,-6,-2,0,18,4,-3,-3
南澳鄉,-6,-3,-2,-42,-24,-2,2,4,-3,2,23,9
總計,97,48,-19,30,105,16,4,-8,-125,-91,-37,-79
