"區域別","總計"
"宜蘭市","95,928"
"羅東鎮","72,331"
"蘇澳鎮","41,328"
"頭城鎮","30,025"
"礁溪鄉","35,982"
"壯圍鄉","24,504"
"員山鄉","32,152"
"冬山鄉","53,734"
"五結鄉","39,261"
"三星鄉","21,207"
"大同鄉","6,014"
"南澳鄉","5,912"
"總計","458,378"
