區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
宜蘭市,50,20,32,6,119,4,28,54,-45,1,75,26
羅東鎮,32,-17,81,36,13,-54,-54,-62,-50,-97,71,-10
蘇澳鎮,-34,-19,-43,2,21,-28,-14,-11,-54,-34,-51,-22
頭城鎮,-15,1,-9,12,-19,-14,-3,-16,-19,-18,-37,-26
礁溪鄉,35,24,16,11,22,52,-18,72,95,145,83,68
壯圍鄉,-37,11,20,38,40,24,20,45,-2,16,15,-5
員山鄉,16,21,-20,38,-2,2,-6,11,-30,10,-20,37
冬山鄉,63,1,2,-15,30,-22,15,3,47,11,-49,-10
五結鄉,18,29,13,17,32,48,104,94,83,87,28,20
三星鄉,-5,9,-15,18,1,-28,-39,39,5,59,27,34
大同鄉,1,-19,-15,-18,-4,13,-10,8,8,0,2,3
南澳鄉,-16,0,5,-10,-4,4,16,-31,-15,2,12,-3
總計,108,61,67,135,249,1,39,206,23,182,156,112
