區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
屏東市,-218,-248,-303,-271,-159,-98,-22,-8,-26,82,176,297
潮州鎮,-15,15,-114,-76,-162,87,24,17,-1,32,12,64
東港鎮,17,5,-50,-27,-29,-39,14,-59,42,11,40,-4
恆春鎮,13,-27,-96,-12,-18,-17,3,9,10,11,9,17
萬丹鄉,-25,-6,-28,34,-26,70,4,41,-17,41,1,33
長治鄉,-22,-5,-29,-9,16,23,34,7,4,-9,20,-17
麟洛鄉,9,-11,6,14,3,-26,6,22,3,7,18,6
九如鄉,-30,-14,-25,33,33,-2,20,16,-12,-2,13,4
里港鄉,44,12,-4,11,-5,-2,22,-32,-8,24,17,39
鹽埔鄉,-19,-35,-15,3,-23,-18,54,-11,-44,14,11,-40
高樹鄉,-15,5,-8,9,16,-6,-3,-1,-8,15,-6,-10
萬巒鄉,-27,-17,-42,-28,-13,-6,-22,-1,-26,-8,3,-9
內埔鄉,-12,7,13,44,13,22,-58,16,66,-19,29,98
竹田鄉,-14,-16,-15,-23,-23,37,13,-6,-27,9,-3,-11
新埤鄉,12,34,193,21,526,-259,-89,-30,-11,-26,-24,-54
枋寮鄉,-10,-7,-20,-12,10,16,5,25,-15,-12,-5,0
新園鄉,35,-46,-78,-58,-6,4,23,53,1,-1,12,-4
崁頂鄉,0,-14,-71,-16,-29,-20,11,-5,7,21,50,58
林邊鄉,-2,-19,-33,-25,-10,12,25,-17,-23,-1,2,10
南州鄉,-8,-5,8,-13,0,22,29,0,-10,4,-1,3
佳冬鄉,-11,-21,-37,-13,-18,18,11,-15,-8,13,10,5
琉球鄉,-2,15,30,37,31,20,58,3,-9,12,-7,16
車城鄉,5,24,9,39,50,10,47,-7,-5,-9,1,-38
滿州鄉,4,31,55,55,64,9,27,3,-21,7,-10,-27
枋山鄉,3,-5,9,25,19,2,6,8,-6,-2,3,-15
三地門鄉,4,11,12,31,15,7,30,4,7,3,-4,-5
霧臺鄉,11,9,5,15,17,13,19,1,5,4,-3,-16
瑪家鄉,10,7,12,1,9,23,50,-5,4,8,-2,-12
泰武鄉,-1,-1,3,15,-2,-8,14,-6,3,6,-2,-3
來義鄉,4,1,2,24,14,-2,32,-4,1,-11,1,-14
春日鄉,8,-9,-6,-5,-1,1,-1,5,4,1,4,-15
獅子鄉,-1,1,4,21,4,-4,30,-4,3,3,-15,0
牡丹鄉,-4,10,-4,16,12,8,7,-5,6,12,4,4
總計,-257,-319,-617,-140,328,-103,423,14,-111,240,354,360
