區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
屏東市,-61,-30,-97,-72,-91,2,-118,-195,-318,-89,224,-106
潮州鎮,54,42,31,21,0,1,18,-5,-35,-64,-65,-54
東港鎮,33,-3,3,25,-41,-47,13,-73,-73,-31,-57,-21
恆春鎮,-7,-17,6,-60,-16,-33,-21,-30,-8,-42,-16,-29
萬丹鄉,-12,-11,-14,-16,-3,5,-16,-45,-31,-33,-40,-21
長治鄉,-4,-3,-10,9,9,18,27,64,31,-7,-59,-1
麟洛鄉,-8,-24,3,16,-3,-4,-10,-13,6,-6,-15,-14
九如鄉,-22,-16,-20,-32,-13,7,-5,1,-16,-6,13,-17
里港鄉,10,-11,-32,0,27,-3,-23,-26,-2,17,14,28
鹽埔鄉,0,-19,-38,4,-9,-14,-27,-24,-25,-48,-57,0
高樹鄉,-19,-19,14,-14,-5,0,-14,-3,-10,-13,-27,-16
萬巒鄉,12,-17,-21,-30,-10,3,-15,-15,-37,-6,0,9
內埔鄉,-13,3,-52,-45,-1,24,-21,0,-61,-29,-32,-70
竹田鄉,-11,-16,-26,-28,-8,-4,-4,-6,-10,-6,-24,-12
新埤鄉,-4,-7,-25,-4,-13,-6,1,-22,2,13,16,7
枋寮鄉,-13,-17,-21,-2,-10,-24,-5,-32,-34,-37,-21,-12
新園鄉,-49,-44,-19,-27,-7,-5,-6,-27,-16,-14,-33,-15
崁頂鄉,13,-28,-34,6,-13,-10,-15,17,9,25,10,19
林邊鄉,-37,-13,-22,-27,51,0,-20,-20,-22,-6,-27,-12
南州鄉,1,-5,-10,-5,-15,-19,-14,-19,-18,-12,-14,-24
佳冬鄉,-14,-4,-4,3,-70,-22,-8,7,0,-9,-27,-4
琉球鄉,12,23,1,12,1,-27,-11,5,2,19,10,4
車城鄉,7,-9,-9,-5,7,8,-9,-1,-9,-12,-1,13
滿州鄉,-9,-15,0,-4,-1,2,0,-13,2,3,-3,4
枋山鄉,2,-12,-8,-20,-14,5,3,-3,8,-3,5,12
三地門鄉,1,-8,25,7,-4,-7,4,7,2,8,-5,1
霧臺鄉,5,-3,2,-7,-2,-4,3,-3,19,12,-2,9
瑪家鄉,-1,15,-5,-8,-1,-11,-13,1,14,-4,2,-5
泰武鄉,-2,-5,3,0,3,0,12,-7,4,4,3,3
來義鄉,-4,-3,-13,-9,-12,-10,4,-16,3,3,-15,8
春日鄉,-5,1,7,-7,2,3,-9,9,7,5,3,3
獅子鄉,-11,14,-4,-5,-5,-4,5,1,21,49,10,4
牡丹鄉,-8,2,-20,15,-2,6,15,1,-1,3,1,-5
總計,-164,-259,-409,-309,-269,-170,-279,-485,-596,-316,-229,-314
