區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
屏東市,-46,11,23,-6,-43,35,61,-3,-68,-21,-78,-7
潮州鎮,56,5,79,59,45,86,43,6,36,23,36,47
東港鎮,50,-1,20,-2,45,21,34,15,-13,45,6,7
恆春鎮,-26,0,-20,-63,-19,-23,-36,-20,14,-22,-25,-46
萬丹鄉,28,10,6,-2,3,-20,-17,-19,-30,10,-22,11
長治鄉,15,18,36,42,53,10,-5,-17,30,38,20,17
麟洛鄉,29,-6,-35,-7,-12,6,6,15,2,10,12,6
九如鄉,-10,30,5,16,-21,25,9,-36,-9,-9,23,9
里港鄉,-3,-12,-38,-1,-1,-38,4,-26,-50,-15,-25,-14
鹽埔鄉,-10,-49,-26,-49,-28,-11,-23,-14,-19,10,0,-10
高樹鄉,-28,-6,-16,-25,-24,-13,-14,-7,-44,-2,-6,-8
萬巒鄉,1,7,-21,-11,-24,-10,-32,-8,-17,-2,21,18
內埔鄉,22,53,81,48,43,-1,4,-7,24,53,83,41
竹田鄉,5,-17,-10,7,0,17,-21,3,-25,-4,-28,7
新埤鄉,-11,-24,8,-5,-15,-8,-6,3,-7,6,5,-6
枋寮鄉,14,-16,-11,42,-22,14,16,26,-16,-4,-7,-8
新園鄉,-17,-22,-57,0,-26,-28,-15,0,-33,-29,-13,-20
崁頂鄉,-3,-13,-36,-28,-30,-96,-6,-5,10,10,4,-15
林邊鄉,-11,-22,-24,4,-10,-13,-29,-17,-28,-21,-18,-18
南州鄉,-9,-11,-5,1,-11,-8,10,-14,2,-9,-9,-11
佳冬鄉,-5,-11,-20,-11,-14,-12,-3,-10,-35,2,-8,-14
琉球鄉,3,14,-9,-1,4,3,-13,-4,-12,-11,-9,-1
車城鄉,-4,-5,-6,8,1,1,-7,-17,-3,-22,-1,-18
滿州鄉,-19,-8,-17,-1,-23,-10,-14,-13,-13,0,-7,1
枋山鄉,3,-2,-1,4,2,2,-1,-2,9,7,5,-14
三地門鄉,-9,-5,-12,4,-3,-3,22,-10,-4,-11,-9,8
霧臺鄉,-2,4,-1,-5,-4,-2,-10,2,-4,-3,-4,-7
瑪家鄉,-4,0,-21,-23,10,7,6,-5,-8,6,-1,13
泰武鄉,-1,-3,-2,24,-13,-20,-1,4,9,-5,-2,-8
來義鄉,-13,-5,-24,4,7,1,9,-13,8,6,4,-13
春日鄉,3,10,-2,-7,0,7,-7,-1,-2,0,2,-10
獅子鄉,-7,-6,-13,-7,10,3,5,33,87,31,4,-3
牡丹鄉,5,-3,-19,-2,0,-1,0,8,0,11,-6,1
總計,-4,-85,-188,7,-120,-79,-31,-153,-209,78,-53,-65
