區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
屏東市,11,-27,67,22,63,31,-58,-123,-157,-70,15,-28
潮州鎮,62,-33,59,42,43,23,31,56,12,-40,-19,-29
東港鎮,23,111,69,3,29,-5,20,-22,-32,-51,-15,-32
恆春鎮,-21,11,-9,-15,-22,0,-18,11,-3,17,23,-12
萬丹鄉,-17,-8,-25,-27,8,-38,-10,-17,-26,5,-19,-23
長治鄉,19,8,-26,-12,-15,-17,11,11,16,4,-10,1
麟洛鄉,17,7,-27,5,-15,7,11,-16,-5,6,-21,-9
九如鄉,11,-8,-1,22,5,13,-4,-1,6,3,21,10
里港鄉,17,-2,-5,18,-2,15,-9,-20,-23,-23,-24,-61
鹽埔鄉,19,4,-43,6,-26,-7,5,-16,-17,6,-25,3
高樹鄉,-18,-6,-12,-17,-1,0,-6,5,-27,17,5,5
萬巒鄉,0,27,-4,-12,2,-5,-4,3,-12,-5,-27,17
內埔鄉,-4,7,-27,-11,10,-5,-38,-9,-9,-8,-21,10
竹田鄉,10,-20,-5,-6,7,-2,1,-9,-8,-11,-16,-16
新埤鄉,10,0,3,-18,-8,-1,2,0,12,-7,10,-26
枋寮鄉,-36,2,1,-6,-18,-5,-14,2,-26,-22,-1,-4
新園鄉,-32,-82,-64,21,-28,-20,-23,-24,-44,-6,-28,-31
崁頂鄉,4,-15,-64,-26,-26,-3,-29,3,-37,23,-3,16
林邊鄉,-31,-87,-95,-60,-62,-13,-12,-24,-9,-30,-53,-17
南州鄉,2,10,10,4,-7,0,18,1,-4,-11,3,-15
佳冬鄉,-4,-18,-12,-16,0,8,-9,13,-16,13,-3,-14
琉球鄉,-22,-22,-27,-7,4,10,6,-10,-15,6,-6,3
車城鄉,7,-18,-12,-1,15,10,6,-11,-16,-16,-19,-15
滿州鄉,-1,-8,-20,-1,1,11,-4,-21,-12,-7,-13,-3
枋山鄉,-1,-12,-6,-6,-9,-21,-5,-22,7,15,0,-2
三地門鄉,3,2,-1,-4,-6,-9,-15,14,-7,6,-5,0
霧臺鄉,-4,2,-14,2,2,-15,-6,-4,0,12,-2,-11
瑪家鄉,3,-2,3,-12,1,-19,8,3,14,7,3,6
泰武鄉,3,7,4,-15,-2,2,-1,19,11,-2,3,6
來義鄉,-6,-1,-4,-1,-17,-9,-9,-13,-13,-8,4,-3
春日鄉,-6,7,2,1,7,3,6,-1,16,25,0,5
獅子鄉,-5,-5,13,8,-6,-4,4,4,6,-5,-6,2
牡丹鄉,1,-4,25,14,12,12,8,20,10,2,-4,-3
總計,14,-173,-247,-105,-61,-53,-137,-198,-408,-155,-253,-270
