區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,-37,-15,-48,-5,-63,-60,-55,-133,-101,-95,18,-52
埔里鎮,-3,-50,-32,-23,30,42,-30,-33,-94,-45,-50,-17
草屯鎮,-61,-3,-16,-35,-29,-38,19,-42,-79,-35,-32,-53
竹山鎮,-47,20,3,31,-25,14,-32,-39,-29,-37,-27,-43
集集鎮,-6,-5,-25,1,-8,-22,4,9,-9,0,8,3
名間鄉,-24,-22,-18,-55,-9,-2,-3,-18,-9,-20,-29,-46
鹿谷鄉,0,11,-50,-35,6,-2,-8,-13,8,-7,-9,-13
中寮鄉,-8,-12,-19,10,1,1,6,-31,-4,7,-17,-27
魚池鄉,4,-6,-26,-18,16,-31,-8,-7,-8,-17,-4,-11
國姓鄉,-20,-1,-47,-13,-5,-25,-19,-6,-2,-21,10,-10
水里鄉,-11,-7,3,-8,-5,4,-31,-9,-8,-17,-7,-11
信義鄉,-9,-2,-14,-9,-19,-37,-16,-23,13,28,-20,-9
仁愛鄉,-12,-5,1,3,-45,-14,-5,24,38,29,3,0
總計,-234,-97,-288,-156,-155,-170,-178,-321,-284,-230,-156,-289
