"區域別","總計"
"南投市","102,356"
"埔里鎮","82,919"
"草屯鎮","99,183"
"竹山鎮","56,559"
"集集鎮","11,387"
"名間鄉","40,007"
"鹿谷鄉","18,521"
"中寮鄉","15,539"
"魚池鄉","16,496"
"國姓鄉","19,672"
"水里鄉","18,676"
"信義鄉","16,803"
"仁愛鄉","15,852"
"總計","513,970"
