區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,-30,-51,-8,-9,-40,-1,-95,-100,-104,-98,-66,0
埔里鎮,-76,-20,10,17,-27,-32,-36,-50,-90,-49,-45,-19
草屯鎮,14,-71,-39,22,-31,16,-19,-75,-74,-74,-18,8
竹山鎮,-37,-39,-48,-14,-44,-5,-4,-35,-50,-63,-29,-45
集集鎮,-3,-1,-23,-38,-13,-22,-2,-7,-5,-19,-7,-3
名間鄉,-42,-65,-63,-19,-37,-9,28,-39,-2,-12,-22,-13
鹿谷鄉,-12,-23,0,-13,-21,-5,2,-9,2,0,-6,-5
中寮鄉,0,-7,-12,-18,-11,7,-8,-12,-10,-5,-33,-6
魚池鄉,27,-2,13,4,-14,4,-9,-15,-31,-16,-1,2
國姓鄉,-13,-11,-12,-31,-14,0,-21,-2,12,-17,0,-4
水里鄉,-5,-27,-33,-23,-27,-19,-9,-7,-16,1,-14,-28
信義鄉,-29,-34,9,-7,-5,-5,-2,-18,-25,-21,-7,-11
仁愛鄉,-2,-12,-13,-23,-45,-25,3,16,25,9,-16,6
總計,-208,-363,-219,-152,-329,-96,-172,-353,-368,-364,-264,-118
