區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,-3,73,-121,-194,25,-31,-34,-38,-51,39,14,49
埔里鎮,-75,-50,-191,-85,44,-17,12,-5,-37,42,1,-24
草屯鎮,-13,-13,-178,-115,-26,-11,87,51,12,-8,99,135
竹山鎮,-69,-51,-82,-117,16,-24,1,9,-32,10,9,-18
集集鎮,-11,-11,-31,2,8,5,16,-14,0,20,-6,-24
名間鄉,-45,-73,-74,-74,-19,-3,-38,-8,-8,14,-4,8
鹿谷鄉,-33,-25,-80,-18,-13,1,-11,-6,-9,0,1,0
中寮鄉,18,-3,-20,-7,12,32,16,-11,-7,0,7,-16
魚池鄉,-5,-32,-24,-37,-9,4,-4,-14,-6,4,7,13
國姓鄉,-28,-11,-32,13,31,-5,19,-13,-20,11,-12,-13
水里鄉,-31,-19,-11,1,-2,0,-13,-15,-3,-3,15,-12
信義鄉,-9,9,-9,-1,-28,-15,4,-10,-19,-7,-4,-17
仁愛鄉,0,6,-3,-2,-18,3,8,-22,-12,21,1,11
總計,-304,-200,-856,-634,21,-61,63,-96,-192,143,128,92
