區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,38,52,30,11,-2,-12,-37,-22,-38,-65,-6,-51
埔里鎮,6,-14,0,41,20,-52,-74,-12,-34,-12,-38,-59
草屯鎮,58,0,20,-4,36,-5,5,-50,-10,63,53,109
竹山鎮,-44,-29,9,-20,-49,-38,0,0,-56,1,-40,-57
集集鎮,2,-4,2,1,-3,-13,-2,-1,-10,0,-4,2
名間鄉,-39,-12,-32,-18,-2,-24,-16,-61,-15,-32,-37,-20
鹿谷鄉,-20,-31,-39,-1,-3,7,-8,-7,-7,-6,-15,-20
中寮鄉,10,-16,-12,-12,-22,-15,-5,-17,-22,-14,-8,-17
魚池鄉,1,-3,-9,-14,6,-12,-8,-5,-17,-33,-13,-11
國姓鄉,-29,-43,-20,2,-19,-6,-18,-26,-20,-39,5,-23
水里鄉,-12,-19,4,-11,-20,-20,-9,-5,-12,-14,0,2
信義鄉,-13,-21,-31,-23,-34,-1,-11,-7,-8,-17,-20,-18
仁愛鄉,11,20,-27,-37,-56,18,-21,-17,-1,-2,9,-4
總計,-31,-120,-105,-85,-148,-173,-204,-230,-250,-170,-114,-167
