區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,-13,5,41,19,-71,-47,-45,-84,-85,-80,-63,-53
埔里鎮,-29,-41,-13,26,-55,-73,-30,-108,-86,-101,-94,-89
草屯鎮,-23,-49,-16,7,-2,35,-63,-53,-142,-18,-36,-83
竹山鎮,-16,-24,-57,-25,-24,-19,-65,-22,-90,-52,-43,-63
集集鎮,2,-26,-8,-9,-6,0,-7,-24,-30,2,-2,-21
名間鄉,-18,14,-34,-84,-4,-16,-24,-30,-44,-40,-47,-30
鹿谷鄉,-11,-17,-31,-18,-18,-27,-38,-21,-17,-4,-14,-17
中寮鄉,-16,-19,-14,4,-15,7,-16,-18,-29,-6,-20,-9
魚池鄉,-13,-28,-23,-26,-4,-13,-20,-16,-10,12,-19,-6
國姓鄉,-7,1,-43,-39,-30,-11,-18,-4,-23,-6,-26,-6
水里鄉,-23,-12,-24,-18,-16,-19,-17,-30,-42,-21,14,-18
信義鄉,-6,-12,-30,-17,-22,11,4,-10,-4,-3,3,-5
仁愛鄉,-12,5,-17,-18,-5,7,-23,15,-5,26,18,19
總計,-185,-203,-269,-198,-272,-165,-362,-405,-607,-291,-329,-381
