區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
南投市,45,77,69,6,8,-14,-31,-44,-51,29,7,-69
埔里鎮,-26,-14,-16,38,4,-36,8,-28,-98,-16,-35,-52
草屯鎮,17,58,-14,-12,10,25,-23,37,-68,-26,-32,-48
竹山鎮,5,-40,-40,-18,-3,-29,-20,-1,-52,-12,-25,-15
集集鎮,-1,-14,-8,-10,-1,2,-7,-9,2,-11,-15,-23
名間鄉,-20,-12,-38,-20,-36,-4,-10,-24,2,-14,-28,-46
鹿谷鄉,-28,-15,-47,-25,-17,-2,-8,-3,6,-5,-20,-15
中寮鄉,28,-15,-17,6,-14,29,-15,-17,-28,-10,-5,-13
魚池鄉,18,-13,-15,1,10,1,-12,-9,7,-17,2,-8
國姓鄉,-29,-25,-35,1,-25,-3,7,-9,-4,-4,-22,-17
水里鄉,3,11,1,-13,6,-18,-16,-22,-23,-11,-26,-28
信義鄉,-9,-32,10,-17,-38,4,-7,-13,7,3,-2,-2
仁愛鄉,6,6,-4,-39,-41,-7,-28,-7,19,-6,2,6
總計,9,-28,-154,-102,-137,-52,-162,-149,-281,-100,-199,-330
