鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
林口區,房地(土地+建物)+車位,新北市林口區力行段1108地號,38.92,住,,,1030319,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,混凝土造,,159.69,2,2,1,有,無,13550000,94473,坡道平面,32.14,1500000,,RPUNMLMJKHLFFBF97DB,105_02
林口區,房地(土地+建物)+車位,新北市林口區力行段1108地號,28.73,住,,,1021005,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,混凝土造,,144.05,2,2,1,有,無,10450000,84443,坡道平面,32.14,1000000,,RPVNMLMJKHLFFBF08DB,105_02
三峽區,房地(土地+建物)+車位,新北市三峽區麻園段溪墘寮小段72地號 - A1棟8+9樓,45.77,,一般農業區,甲種建築用地,1031231,土地2建物1車位1,見其他登記事項,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,202.62,4,2,2,有,無,13780000,69926,坡道平面,26.29,1450000,,RPRPMLMJKHLFFIF68EB,105_02
三峽區,房地(土地+建物)+車位,新北市三峽區麻園段溪墘寮小段72地號 - C1棟1樓,40.52,,一般農業區,甲種建築用地,1040304,土地2建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.69,0,0,0,無,無,12500000,82881,坡道平面,27.78,1650000,店面,RPSPMLMJKHLFFIF78EB,105_02
三峽區,房地(土地+建物)+車位,新北市三峽區麻園段溪墘寮小段72地號 - C4棟1樓,42.23,,一般農業區,甲種建築用地,1040116,土地2建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.46,0,0,0,無,無,13500000,88690,坡道平面,25.03,1400000,店面,RPTPMLMJKHLFFIF88EB,105_02
三峽區,房地(土地+建物)+車位,新北市三峽區麻園段溪墘寮小段72地號 - C2棟1樓,41.16,,一般農業區,甲種建築用地,1040309,土地2建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.02,0,0,0,無,無,12750000,84217,坡道平面,25.03,1550000,店面,RPUPMLMJKHLFFIF98EB,105_02
汐止區,房地(土地+建物)+車位,新北市汐止區新北市汐止區新台五路一段274號23FA2-23F,14.56,住,,,1040318,土地2建物1車位1,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,252.29,4,2,2,有,無,35200000,146577,坡道平面,26.47,2100000,,RPUNMLNJKHLFFDF18CB,105_02
汐止區,房地(土地+建物)+車位,新北市汐止區長興街二段56-3號3樓,25.12,住,,,1040920,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.89,3,2,2,有,無,10960000,71498,坡道平面,34.88,1450000,,RPPNMLRLKHLFFDF28CB,105_02
汐止區,房地(土地+建物)+車位,新北市汐止區長興街二段56-3號7樓,25.12,住,,,1040607,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.89,3,2,2,有,無,11580000,76160,坡道平面,34.88,1450000,,RPQNMLRLKHLFFDF38CB,105_02
汐止區,房地(土地+建物),新北市汐止區長興街二段56-2號2樓,11.7,住,,,1040207,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.69,1,2,1,有,無,5000000,82386,,0.0,0,,RPRNMLRLKHLFFDF48CB,105_02
