鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷C戶1樓,27.96,住,,,1040126,土地2建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.69,2,2,1,有,無,8600000,78302,坡道平面,29.1,1350000,,RPXQMLNJJIKFFCC28CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷C戶2樓,27.17,住,,,1040126,土地2建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,6850000,74287,,0.0,0,,RPORMLNJJIKFFCC47CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷C戶3樓,27.36,住,,,1040308,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.31,2,2,1,有,無,8380000,77324,坡道平面,28.1,1250000,,RPPRMLNJJIKFFCC57CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷C戶4樓,27.17,住,,,1040328,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,7200000,78083,,0.0,0,,RPQRMLNJJIKFFCC67CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷C戶5樓,27.17,住,,,1040130,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,7190000,77974,,0.0,0,,RPRRMLNJJIKFFCC77CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷C戶6樓,27.17,住,,,1040427,土地2建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,7350000,79709,,0.0,0,,RPSRMLNJJIKFFCC87CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷C戶11樓,27.36,住,,,1040509,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.31,2,2,1,有,無,8800000,81336,坡道平面,29.1,1300000,,RPVRMLNJJIKFFCC18CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷C戶12樓,27.36,住,,,1040320,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.91,2,2,1,有,無,8880000,82746,坡道平面,30.7,1250000,,RPWRMLNJJIKFFCC28CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷C戶8樓,27.36,住,,,1040304,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.31,2,2,1,有,無,8800000,80252,坡道平面,29.1,1400000,,RPXRMLNJJIKFFCC38CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷C戶9樓,27.36,住,,,1040227,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.31,2,2,1,有,無,8800000,81336,坡道平面,29.1,1300000,,RPOSMLNJJIKFFCC57CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶1樓,20.66,住,,,1040201,土地2建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5710000,80832,,0.0,0,,RPPSMLNJJIKFFCC67CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶2樓,20.66,住,,,1040320,土地2建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5500000,77860,,0.0,0,,RPQSMLNJJIKFFCC77CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶3樓,20.66,住,,,1040323,土地2建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5600000,79275,,0.0,0,,RPRSMLNJJIKFFCC87CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷D戶4樓,20.85,住,,,1040323,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.74,1,1,1,有,無,6950000,79275,坡道平面,29.1,1350000,,RPSSMLNJJIKFFCC97CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶5樓,20.66,住,,,1040323,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5770000,81682,,0.0,0,,RPTSMLNJJIKFFCC08CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶6樓,20.66,住,,,1040307,土地2建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5600000,79275,,0.0,0,,RPUSMLNJJIKFFCC18CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶7樓,20.66,住,,,1040324,土地2建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5830000,82531,,0.0,0,,RPVSMLNJJIKFFCC28CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷D戶8樓,20.85,住,,,1040411,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.74,1,1,1,有,無,7130000,82531,坡道平面,29.1,1300000,,RPWSMLNJJIKFFCC38CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶樓,20.66,住,,,1040408,土地2建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,6000000,84938,,0.0,0,,RPXSMLNJJIKFFCC48CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶12樓,20.66,住,,,1040310,土地2建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5980000,84655,,0.0,0,,RPPTMLNJJIKFFCC77CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷D戶11樓,20.66,住,,,1040704,土地2建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,6000000,84938,,0.0,0,,RPQTMLNJJIKFFCC87CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶1樓,30.49,住,,,1040312,土地2建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.27,2,2,1,有,無,9900000,82873,坡道平面,29.1,1350000,,RPRTMLNJJIKFFCC97CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶2樓,30.49,住,,,1040320,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.27,2,2,1,有,無,9000000,74634,坡道平面,29.1,1300000,,RPSTMLNJJIKFFCC08CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶3樓,30.49,住,,,1040128,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.27,2,2,1,有,無,8980000,74440,坡道平面,29.1,1300000,,RPTTMLNJJIKFFCC18CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶4樓,30.49,住,,,1040128,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.27,2,2,1,有,無,9070000,75313,坡道平面,28.1,1300000,,RPUTMLNJJIKFFCC28CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶5樓,30.49,住,,,1040625,土地2建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.87,2,2,1,有,無,9500000,77542,坡道平面,30.7,1500000,,RPVTMLNJJIKFFCC38CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶6樓,30.49,住,,,1040307,土地2建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.87,2,2,1,有,無,9000000,75603,坡道平面,30.7,1200000,,RPWTMLNJJIKFFCC48CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶7樓,30.49,住,,,1040324,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.27,2,2,1,有,無,9470000,79475,坡道平面,29.1,1350000,,RPXTMLNJJIKFFCC58CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶8樓,30.49,住,,,1040202,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.27,2,2,1,有,無,9500000,78511,坡道平面,29.1,1400000,,RPOUMLNJJIKFFCC77CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶9樓,30.49,住,,,1040202,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.27,2,2,1,有,無,9200000,75119,坡道平面,29.1,1450000,,RPPUMLNJJIKFFCC87CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷E戶11樓,31.29,住,,,1040704,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.17,2,2,1,有,無,9850000,79471,坡道平面,29.1,1500000,,RPQUMLNJJIKFFCC97CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶6樓,35.16,住,,,1040201,土地2建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10700000,78028,坡道平面,29.1,1300000,,RPPNMLKKJIKFFCC96CB,105_01
