鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉明新街４２６巷１０號三樓之１,38.99,,一般農業區,甲種建築用地,1050902,土地2建物2車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,931120.0,127.11,4,2,2,有,有,5100000,40123.0,坡道平面,0.0,0,,RPRNMLQLRHLFFDJ76CA,76.53,0.0,8.56,,,105_04
湖口鄉,房地(土地+建物),新竹縣湖口鄉松江一街２８號三樓,38.86,,工業區,丁種建築用地,1050817,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810422.0,113.13,3,1,2,有,無,2650000,23424.0,,0.0,0,賣方賣清不付任何稅費,RPSNMLKMRHLFFDJ98CA,89.94,0.0,11.94,,,105_04
湖口鄉,房地(土地+建物),新竹縣湖口鄉松江一街２８號,41.38,,工業區,丁種建築用地,1050817,土地1建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810625.0,113.13,3,1,2,有,無,3500000,30938.0,,0.0,0,賣方賣清不付任何稅費,RPTNMLKMRHLFFDJ09CA,89.94,11.94,0.0,,,105_04
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路二段４２８巷１００弄２８號,194.23,農,,,1050912,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040610.0,353.07,7,2,3,有,無,14200000,40219.0,,0.0,0,,RPPNMLOJIILFFDJ97CA,267.51,10.98,74.58,,,105_04
新豐鄉,土地,青埔子段1772地號,2513.0,,特定農業區,農牧用地,1050819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8360000,3327.0,,0.0,0,,RPPNMLTLRHLFFDJ86CA,0.0,0.0,0.0,,,105_04
新豐鄉,房地(土地+建物),新竹縣新豐鄉自立街４２巷７弄１０號六樓,20.13,住,,,1050901,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840626.0,97.78,3,2,2,有,有,2680000,27408.0,,0.0,0,,RPRNMLOJIILFFDJ18CA,59.99,1.0,9.16,,,105_04
新豐鄉,房地(土地+建物),新竹縣新豐鄉莊敬街５９巷１號,251.69,,鄉村區,乙種建築用地,1050905,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,690407.0,227.92,8,1,4,有,無,11500000,50456.0,,0.0,0,,RPQOMLNKIILFFDJ18CA,227.92,0.0,0.0,,,105_04
湖口鄉,房地(土地+建物),新竹縣湖口鄉信湖路１２７巷３０弄１２號,114.5,,特定農業區,甲種建築用地,1050820,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,950901.0,165.3,4,2,3,有,有,7100000,42952.0,,0.0,0,,RPRNMLRJIILFFDJ48CA,162.88,2.42,0.0,,,105_04
湖口鄉,房地(土地+建物),新竹縣湖口鄉榮光一路91巷36號,97.31,,鄉村區,乙種建築用地,1050803,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041124.0,245.73,4,2,5,有,有,13000000,52904.0,,0.0,0,,RPSNMLRJIILFFDJ58CA,206.57,0.0,16.45,,,105_04
新豐鄉,房地(土地+建物),新竹縣新豐鄉坪頂三街３９巷６號,72.59,,鄉村區,乙種建築用地,1050817,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1020305.0,177.4,3,2,2,有,無,9800000,55242.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLLKIILFFDJ18CA,166.82,0.0,10.58,,,105_04
竹北市,房地(土地+建物),新竹縣竹北市水防道路五段５８７號,1976.0,,一般農業區,農牧用地,1050908,土地1建物1車位0,一層,一層,農舍,農舍,見使用執照,870902.0,188.8,0,0,0,無,無,13000000,,,0.0,0,,RPQOMLOKIILFFBJ08CA,188.8,0.0,0.0,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路五段１８１號６樓,47.75,住,,,1050813,土地1建物1車位2,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990115.0,313.69,4,2,2,有,有,21160000,67455.0,坡道平面,0.0,0,,RPWPMLQJIILFFBJ88CA,139.39,10.97,16.81,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２０３號２１樓,20.49,商,,,1050726,土地1建物1車位2,二十一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041102.0,267.64,3,2,2,有,有,16800000,75226.0,坡道平面,70.9,2000000,,RPRNMLOJIILFFBJ97CA,117.69,4.78,11.49,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２０３號１８樓,20.49,商,,,1050726,土地1建物1車位2,十八層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041102.0,267.64,3,2,2,有,有,16600000,74210.0,坡道平面,70.9,2000000,,RPSNMLOJIILFFBJ08CA,117.69,4.78,11.49,,,105_04
竹北市,土地,新國段283地號,77.95,商,,,1050802,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,84670.0,,0.0,0,,RPUNMLOJIILFFBJ28CA,0.0,0.0,0.0,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路182號13樓之1,21.4,住,,,1050907,土地1建物1車位2,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031009.0,260.88,4,2,2,有,有,12480000,49846.0,坡道平面,62.68,2600000,,RPSNMLLJIILFFBJ77CA,115.62,7.09,11.11,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路182號6樓之2,22.25,住,,,1050907,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031009.0,235.5,4,2,2,有,有,11850000,51678.0,坡道平面,31.34,1300000,,RPTNMLLJIILFFBJ87CA,119.9,7.09,10.84,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路182號15樓之2,22.68,住,,,1050809,土地1建物1車位2,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031009.0,266.84000000000003,4,2,2,有,有,12900000,49963.0,坡道平面,62.68,2700000,,RPUNMLLJIILFFBJ97CA,119.9,7.09,10.84,,,105_04
竹北市,房地(土地+建物),新竹縣竹北市中正西路１５２８巷３０弄２０號,83.0,,特定農業區,甲種建築用地,1050812,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,821124.0,187.11,5,3,3,有,有,6450000,34472.0,,0.0,0,,RPSOMLNLRHLFFBJ09CA,171.97,9.58,5.56,,,105_04
關西鎮,土地,大旱坑段大東坑小段206-3地號,6601.0,,山坡地保育區,林業用地,1050712,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,1666.0,,0.0,0,,RPWNMLQLRHLFFBJ07CA,0.0,0.0,0.0,,,105_04
關西鎮,土地,大旱坑段大東坑小段205-2地號,7405.0,,山坡地保育區,農牧用地,1050712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,1485.0,,0.0,0,,RPXNMLQLRHLFFBJ17CA,0.0,0.0,0.0,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強五路１３０號３樓,30.82,住,,,1050820,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941213.0,174.1,3,2,2,有,有,10800000,62033.0,坡道平面,32.05,0,,RPTOMLQLRHLFFBJ86CA,94.19,3.12,12.69,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市新和路２號６樓之７,14.1,商,,,1050507,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040603.0,130.08,3,2,2,有,有,7330000,56350.0,坡道機械,20.53,0,,RPTNMLSLRHLFFBJ96CA,67.08,0.0,8.82,,,105_04
竹北市,房地(土地+建物)+車位,新竹縣竹北市台元一街８號二樓之二,88.36,工,,,1050815,土地1建物1車位4,二層,十四層,廠辦,工業用,鋼筋混凝土造,1020318.0,391.9,0,0,0,無,有,22000000,67601.0,其他,125.63,4000000,,RPPNMLTLRHLFFBJ66CA,172.02,0.0,0.0,,,105_04
