鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街62巷150號4樓,31.72,住,,,1050829,土地2建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050517.0,163.68,3,2,2,有,有,7900000,52878.0,坡道平面,33.19,1000000,,RPPSMLRKIILFFCC08CA,78.25,5.09,8.29,,,105_04
安樂區,房地(土地+建物),基隆市安樂區武嶺街１９３之３號,30.0,住,,,1050831,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,650113.0,68.25,2,1,1,有,無,2380000,34872.0,,0.0,0,,RPPNMLLLIILFFCC07CA,68.25,0.0,0.0,,,105_04
中正區,房地(土地+建物),基隆市中正區平一路１５巷４之２號,28.92,住,,,1010528,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691009.0,50.89,3,1,1,有,無,1300000,25545.0,,0.0,0,親友、員工或其他特殊關係間之交易。買賣雙方於101年5月28日簽私契並約定105年5月27日後辦理移轉登記。,RPTNMLQLRHLFFBC68CA,50.89,0.0,0.0,,,105_04
中正區,房地(土地+建物),基隆市中正區新豐街３５５號,88.47,住,,,1050805,土地4建物1車位0,全,二層,透天厝,住商用,加強磚造,721121.0,123.34,2,2,2,有,無,8000000,64861.0,,0.0,0,,RPSNMLQLRHLFFBC58CA,111.68,5.83,5.83,,,105_04
信義區,房地(土地+建物)+車位,基隆市信義區培德路１４巷４１之５號５樓,49.4,住,,,1050725,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,811105.0,191.29,4,2,2,有,有,2500000,13069.0,升降平面,24.19,0,親友、員工或其他特殊關係間之交易。,RPUNMLTLRHLFFBC09CA,136.29,1.41,8.71,,,105_04
仁愛區,房地(土地+建物),基隆市仁愛區仁三路２４號４樓之５,19.89,商,,,1050715,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,750612.0,132.78,4,1,1,有,無,7500000,56484.0,,0.0,0,,RPQNMLNLRHLFFBC08CA,107.02,0.0,8.55,,,105_04
中正區,車位,基隆市中正區觀海街128號等公共設施,0.0,,,,1050801,土地0建物0車位1,,,其他,,,,41.38,0,0,0,有,有,400000,,坡道平面,41.38,400000,,RPPNMLMLRHLFFBC87CA,0.0,0.0,0.0,,,105_04
仁愛區,房地(土地+建物),基隆市仁愛區龍安街１９８巷４７之１號六樓,18.02,住,,,1050810,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,931101.0,94.33,2,2,1,有,有,5700000,60426.0,,0.0,0,,RPUNMLMLRHLFFBC38CA,67.16,0.0,7.43,,,105_04
中正區,房地(土地+建物),基隆市中正區觀海街６３號１１樓,25.72,住,,,1050805,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880114.0,130.59,3,2,2,有,有,4500000,34459.0,,0.0,0,,RPXNMLMLRHLFFBC68CA,88.85,0.0,13.15,,,105_04
信義區,房地(土地+建物),基隆市信義區信二路２９號,18.0,商,,,1050818,土地3建物1車位0,一層，騎樓,四層,店面(店鋪),住商用,鋼筋混凝土加強磚造,620303.0,70.06,0,0,0,無,無,11150000,159149.0,,0.0,0,,RPOOMLQJIILFFBC27CA,70.06,0.0,0.0,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３２９號８樓,33.76,住,,,1050531,土地3建物1車位2,八層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,301.12,4,2,3,有,有,20000000,65288.0,坡道平面,26.94,2100000,,RPQSMLRKIILFFCC18CA,151.29,0.71,41.29,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路２４５號１０樓,14.03,住,,,1050531,土地3建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,121.2,3,1,2,有,有,6200000,48264.0,坡道平面,13.47,1000000,,RPPPMLRKIILFFCC77CA,62.99,3.97,8.99,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路２４５號１１樓,14.03,住,,,1050531,土地3建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,121.2,3,1,2,有,有,5631500,42988.0,坡道平面,13.47,1000000,本案為預售屋買賣。親友、員工或其他特殊關係間之交易。土地及建物分次登記案件。,RPQPMLRKIILFFCC87CA,62.99,3.97,8.99,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路２４５號１８樓,14.03,住,,,1050531,土地3建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,121.2,3,1,2,有,有,6400000,51049.0,坡道平面,13.47,900000,,RPRPMLRKIILFFCC97CA,62.99,3.97,8.99,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路265號12樓,12.2,住,,,1050531,土地3建物1車位0,十二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,125.52,3,2,2,有,有,10830000,86281.0,,0.0,0,,RPSPMLRKIILFFCC08CA,77.14,2.57,8.78,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路２４１號２２樓,6.83,住,,,1050531,土地3建物1車位0,二十二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,70.29,2,1,1,有,有,4800000,68289.0,,0.0,0,,RPTPMLRKIILFFCC18CA,36.85,1.89,10.81,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３３３號６樓,21.5,住,,,1050531,土地3建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,198.08,4,2,2,有,有,12700000,63919.0,坡道平面,13.47,900000,,RPUPMLRKIILFFCC28CA,98.84,3.74,27.57,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３３１號３樓,14.03,住,,,1050531,土地3建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,123.6,3,1,2,有,有,7300000,57546.0,坡道平面,15.87,1100000,,RPVPMLRKIILFFCC38CA,62.99,3.97,8.99,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３３１號１４樓,14.03,住,,,1050531,土地3建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,121.2,3,1,2,有,有,8560000,70169.0,坡道平面,13.47,1000000,,RPWPMLRKIILFFCC48CA,62.99,3.97,8.99,,,105_04
安樂區,房地(土地+建物),基隆市安樂區麥金路３２５號５樓,6.83,住,,,1050531,土地3建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,70.29,2,1,1,有,有,4050000,57618.0,,0.0,0,,RPOQMLRKIILFFCC77CA,36.85,1.89,10.81,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路323號9樓,18.21,住,,,1050531,土地3建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,166.62,3,2,2,有,有,11000000,66335.0,坡道平面,15.87,1000000,,RPPQMLRKIILFFCC87CA,85.24,2.17,18.87,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３５７號３樓,14.24,住,,,1050531,土地3建物1車位1,三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,125.82,3,1,2,有,有,6680000,50750.0,坡道平面,15.87,1100000,,RPQQMLRKIILFFCC97CA,63.65,4.0,9.87,,,105_04
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路357號16樓,14.06,住,,,1050531,土地3建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124.0,123.96,3,1,2,有,有,8580000,69210.0,坡道平面,15.87,0,,RPRQMLRKIILFFCC08CA,63.65,4.0,8.56,,,105_04
