鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
頭城鎮,土地,金盈段266地號,765.21,,特定農業區,農牧用地,1050714,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3920.0,,0.0,0,,RPPOMLMJQHLFFBG18DA,0.0,0.0,0.0,,,105_04
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段１４５號三樓之７,12.76,,特定農業區,甲種建築用地,1050720,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850216.0,50.81,2,1,1,有,有,2070000,40740.0,,0.0,0,本案建物另有增建,RPROMLOJQHLFFAG58EA,23.2,0.0,3.29,,,105_04
礁溪鄉,土地,實踐段605地號,103.0,,特定農業區,農牧用地,1050718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,690680,6706.0,,0.0,0,,RPVNMLLJQHLFFBG68EA,0.0,0.0,0.0,,,105_04
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿民權新路４７巷８弄１之１號,28.85,住,,,1050712,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720511.0,93.96,3,2,2,有,無,4200000,44700.0,,0.0,0,,RPPNMLMJQHLFFBG18EA,77.4,0.0,10.8,,,105_04
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿農權路三段１８９之１號,81.0,住,,,1050615,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,880827.0,246.6,6,1,4,有,無,12500000,50689.0,,0.0,0,,RPQOMLMJQHLFFBG38EA,219.37,5.03,22.2,,,105_04
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路一段８７８巷９號,72.5,住,,,1050718,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,770325.0,82.81,3,2,2,有,無,6800000,82116.0,,0.0,0,,RPPNMLPJQHLFFBG48EA,0.0,0.0,0.0,,,105_04
員山鄉,房地(土地+建物),宜蘭縣員山鄉金泰路３００巷７５弄３８號,100.24,住,,,1050613,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,940526.0,171.86,4,3,4,有,無,8500000,49459.0,,0.0,0,,RPSNMLSJQHLFFBG09EA,151.32,0.0,20.54,,,105_04
礁溪鄉,土地,五峰段1116地號,180.07,其他,,,1050714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10155948,56400.0,,0.0,0,,RPXNMLSJQHLFFBG96EA,0.0,0.0,0.0,,,105_04
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中央路二段２５１巷１２號,108.6,住,,,1050714,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,811120.0,68.64,4,2,2,有,無,6580000,95862.0,,0.0,0,,RPQNMLTJQHLFFBG98EA,62.1,0.0,6.54,,,105_04
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉七結路２４之１０號三樓,35.0,,特定農業區,甲種建築用地,1050524,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,850416.0,82.72999999999999,3,1,1,有,無,4000000,48350.0,,0.0,0,,RPXNMLTLQHLFFBG27EA,62.81,0.0,10.1,,,105_04
