鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
中山區,房地(土地+建物)+車位,臺北市中山區天祥路    １６號,16.23,住,,,1030616,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.67,1,1,1,有,無,31560000,331521,塔式車位,19.41,2300000,,RPQQMLQJJHLFFCA67CB,105_01
中山區,房地(土地+建物),臺北市中山區天祥路      １６號,12.66,住,,,1030830,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.89,1,1,1,有,無,19800000,287415,,0.0,0,,RPRQMLQJJHLFFCA77CB,105_01
中山區,房地(土地+建物),臺北市中山區天祥路      １６號,12.66,住,,,1030924,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.89,1,1,1,有,無,19850000,288141,,0.0,0,,RPSQMLQJJHLFFCA87CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區天祥路    １６號,12.66,住,,,1030725,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.3,1,1,1,有,無,23710000,310785,塔式車位,19.41,2300000,,RPTQMLQJJHLFFCA97CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區天祥路    １６號,12.16,住,,,1030725,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.59,1,1,1,有,無,23010000,312934,塔式車位,19.41,2300000,,RPUQMLQJJHLFFCA08CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-2F,57.56,其他,,,1011025,土地2建物1車位3,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,741.79,0,0,0,無,無,287870000,451708,坡道平面,130.4,11700000,,RPPQMLLLJHLFFDA37CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-3F,58.17,其他,,,1011010,土地2建物1車位3,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,756.21,0,0,0,無,無,286600000,439271,坡道平面,130.4,11700000,,RPQQMLLLJHLFFDA47CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-7F,58.17,其他,,,1011004,土地2建物1車位3,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,756.21,0,0,0,無,無,295130000,451942,坡道平面,130.4,12300000,,RPRQMLLLJHLFFDA57CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-9F,58.17,其他,,,1011001,土地2建物1車位3,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,756.21,0,0,0,無,無,306580000,472635,坡道平面,130.4,10800000,,RPSQMLLLJHLFFDA67CB,105_01
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段69號旁A-10F,58.17,其他,,,1010927,土地2建物1車位3,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,756.21,0,0,0,無,無,294510000,450472,坡道平面,130.4,12600000,,RPTQMLLLJHLFFDA77CB,105_01
